{'短评内容': '没有水壶', '短评打分': 5}
{'短评内容': '非常好经常观顾', '短评打分': 5}
{'短评内容': '环境一般，卫生一般，有公共卫生间，有洗漱的地方，没有热水，有个电视，地方挺偏的，周围有几辆公交车。。', '短评打分': 4}
{'短评内容': '设施基本都是坏的，服务人员没有服务意识，感觉很差。', '短评打分': 3}
{'短评内容': '一，说有卫浴但没有。二，空调还限时三小时。三，换带卫浴的还不能和网上的价格一致。除了价位和周边方便以外没啥了', '短评打分': 3}
{'短评内容': '环境好 真的不错 以后会常去的！', '短评打分': 5}
{'短评内容': '特别的便宜，其它的就不提了', '短评打分': 3}
{'短评内容': '设施有些陈旧但很干净，服务态度好。', '短评打分': 3}
{'短评内容': '网络很快，服务员态度好。', '短评打分': 3}
{'短评内容': '太差劲了，发票都不想给，艺龙这样的店也推荐，', '短评打分': 3}
{'短评内容': '差 差差 差差差差差，简直不能住人', '短评打分': 3}
{'短评内容': '屋里卫生间的味道太大了，真是不能住！', '短评打分': 2}
{'短评内容': '说心里话，很一般，服务员一问三不知，空调现时。很脏。', '短评打分': 3}
{'短评内容': '网上当时看到的硬件设施齐全，结果入住后发现没有卫生间，空调还是定时3小时的，实在是不太好。', '短评打分': 1}
{'短评内容': '我住的酒店标准三人间的空调不制冷，服务员还坚持说空调一直是好的，最后店家提供了一台电风扇才算能度过这几晚。', '短评打分': 1}
{'短评内容': '虽说地方难找了点，但总体不错，美中不足的就是夏天晚上有些吵，大概要持续到10点才能安静下来', '短评打分': 5}
{'短评内容': '该宾馆环境设施陈旧，唯一就是附近消费便宜些，该宾馆价格便宜，为了省钱的话，可以去凑合一晚', '短评打分': 5}
{'短评内容': '网站图片和实际一点也不相符，华丽干净的图片跟这家宾馆没关系，实际没那么好，便宜的价格不会有好的设施和服务', '短评打分': 1}
{'短评内容': '位置还算好找，可是设施环境就是一个大点的旅馆，除了大堂还算气派外，其它设施陈旧，连公共的洗浴也要另掏5元钱，房间味道比较大，可能都不如一个一般点的招待所，只是床单还好，一铺一换是很不错的。至于那免费早餐，唉，不想说了...总之下次是不会入住这里了。', '短评打分': 1}
