{'短评内容': '很好啊很好', '短评打分': 5}
{'短评内容': '同价格中最差的酒店！没有之一！特别是无线网络，龟速。想不通为什么生意好，明明周边有更好的选择啊。以后再也不住网评低于4.2分的酒店了！', '短评打分': 1}
{'短评内容': '整体都不错', '短评打分': 5}
{'短评内容': '很舒适 但是除了这次房间隔音不好', '短评打分': 5}
{'短评内容': '周围很方便', '短评打分': 5}
{'短评内容': '非常齐全 很适合长住', '短评打分': 5}
{'短评内容': '一般性', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '因為酒店裝修。早餐變成了送去房間。非常好', '短评打分': 5}
{'短评内容': '朋友聚会的老地方，很赞', '短评打分': 5}
{'短评内容': '超喜歡这酒店，方便，房間大，乾淨，服務好', '短评打分': 5}
{'短评内容': '一直很喜欢这个服务公寓，淮海路上，购物吃饭都很方便。', '短评打分': 5}
{'短评内容': '很便利，公寓式酒店', '短评打分': 5}
{'短评内容': '还不错！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '可以。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': 'Great location, but the room smelt a bit.  I realized it was because of the shower curtains had that old sock smell.  Other then that the room was clean, just a bad odor.', '短评打分': 3}
{'短评内容': '酒店有点老了，不过位置很好，购物方便', '短评打分': 4}
{'短评内容': '地理位置很好，酒店环境也不错！', '短评打分': 5}
{'短评内容': '公司给客人定的酒店一直都是这家，环境很好，装修不错，周围交通购物都特别方便，五星级标准，价格很吸引人，酒店服务公寓特色很好', '短评打分': 5}
{'短评内容': '设施设备齐全 作为服务公寓 硬件没什么可挑剔的 但服务只能说一般', '短评打分': 1}
{'短评内容': '这酒店不错，设施齐全，环境又好，就是价格高了点', '短评打分': 5}
{'短评内容': '还不错。就是早餐没有很不爽', '短评打分': 3}
{'短评内容': '房间还不错，早晨太简单了。另外楼层的壁纸正在更新。楼道很破乱', '短评打分': 3}
{'短评内容': '地方不错，还升级了！', '短评打分': 3}
{'短评内容': '总体来讲还是不错的。地理位置没得说。就是，浴室隔音差，洗澡时能够听见隔壁的门铃和所有的对话。有自己暴露在大庭广众之下的错觉。', '短评打分': 5}
{'短评内容': 'Good location & service 2nd time stayed there will go back again if the fare is cheaper', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '服务态度很好，环境很舒适', '短评打分': 3}
