{'短评内容': '酒店服务人员态度很差，很脏，太恶心了，不会再来第二次', '短评打分': 1}
{'短评内容': '酒店距离需要去办事的地方很近，房间很干净，房内设施用品很全，上次就想订单没订到，这次订到了，很满意。', '短评打分': 5}
{'短评内容': '家里来了客人，就安排在旁边的酒店，还不错。本来家里睡得下，但是客人说就想在家里去打电话去取消，由于是第三方代理订票，所以不能取消，稍显遗憾。', '短评打分': 5}
{'短评内容': '现在酒店前面在修路，不适合带家人，可以加床，酒店门口可以停车。早餐没有吃，不知道怎么样。位置相对偏僻。', '短评打分': 2}
{'短评内容': '因为朋友在这里住，所以才定这里，得升级了行政房，开心，行政房有阳台，可以外面修路，灰尘大啊，楼下餐厅正餐炒菜好吃，推荐，隔壁有家火川西坝子锅店很方便。酒店自己开车去宽窄和锦鲤要用时差不多一小时。来旅游的估计住这里不方便。地铁站离酒店也有点距离。', '短评打分': 4}
{'短评内容': '挺难找的，在一个小路里面，不熟悉的人导航都不好找', '短评打分': 3}
{'短评内容': '很方便', '短评打分': 5}
{'短评内容': '除了这段期间修路交通不是太方便外其它都可以。', '短评打分': 5}
{'短评内容': '.........', '短评打分': 5}
{'短评内容': '酒店不错，适合出差，旁边环境也还好', '短评打分': 4}
{'短评内容': '酒店不错，适合出差，旁边环境也还好', '短评打分': 4}
{'短评内容': '如果期望值不太高还是过得去的', '短评打分': 3}
{'短评内容': '商务出差 因为地理位置 不得不选择 其余的性价比一般', '短评打分': 3}
{'短评内容': '酒店好在离工作的地点很近 是唯一选择的理由 早餐真心不太好 希望可以增加一些改善一下 不过冬天房间的温度还不错 很暖和', '短评打分': 3}
{'短评内容': '朋友说很不错', '短评打分': 4}
{'短评内容': '朋友说很不错', '短评打分': 4}
{'短评内容': '感觉挺好。', '短评打分': 5}
{'短评内容': '这家酒店，细节装修上该维护了。常住这酒店，这次发现很多地方该改善了！', '短评打分': 3}
{'短评内容': '帮领导订的  说是卫生情况不好   ', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错的酒店，除了位置偏了点，房间服务都很好', '短评打分': 3}
{'短评内容': '太吵了，窗户设计不好，水压太低。总的来看不错，有特色。', '短评打分': 5}
{'短评内容': '环境不错，服务不错~~离会展中心比较近，下次到这里出差，仍旧考虑这家~~', '短评打分': 5}
{'短评内容': '很喜欢酒店的装修风格,特别是床睡起很舒服,非常方便我在软件园上班。', '短评打分': 3}
