{'短评内容': '很不错的性价比。', '短评打分': 5}
{'短评内容': '还可以啦……', '短评打分': 4}
{'短评内容': '还可以的……', '短评打分': 5}
{'短评内容': '环境很舒适', '短评打分': 5}
{'短评内容': '总体感觉不错', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '...', '短评打分': 5}
{'短评内容': '酒店环境不错，已经不是第一次入住了', '短评打分': 5}
{'短评内容': '还行，性价比还好，就是退房时间过于死板', '短评打分': 4}
{'短评内容': '前台服务人员笑容甜美，酒店环境好 安静，大堂和电梯内烟味很重', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '长途开车后选择在九江住宿，携程推荐这家酒店，虽然前台不大，但是服务挺好的，没有配备早餐，但楼下就有当地小吃，还是不错的。', '短评打分': 4}
{'短评内容': '干净卫生。', '短评打分': 5}
{'短评内容': '干净卫生！', '短评打分': 5}
{'短评内容': '周边餐饮方便，出行OK。酒店设施不错', '短评打分': 5}
{'短评内容': '酒店位置较偏僻，自己很难找到。房间很好，干净，设备很新！性价比高。', '短评打分': 5}
{'短评内容': '方便，周边环境不错酒店干净热水错点', '短评打分': 4}
{'短评内容': '酒店不错，每次来都住这边，就是噪音有点大', '短评打分': 5}
{'短评内容': '不错的酒店，就是靠近马路边有点吵', '短评打分': 5}
