{'短评内容': '   酒店环境不错，服务员也很热情，性价比高', '短评打分': 3}
{'短评内容': ';还可以吧空调不太好\n\n', '短评打分': 3}
{'短评内容': '房间很干净，交通比较便利，不过打车说这个酒店司机10个有9个都不知道，一说党校就都知道了。早餐太简陋，无论种类还是品质。', '短评打分': 5}
{'短评内容': '这个酒店非常好，房间很大又干净，隔音也不错。对得起4星这个了。值得入住', '短评打分': 5}
{'短评内容': '不错，下次还会入住贵酒店。房间蛮大的，我喜欢', '短评打分': 5}
{'短评内容': '很新的酒店，不错，下回还会考虑入住，很喜欢', '短评打分': 5}
{'短评内容': '性价比很好的酒店，卫生条件挺好的，硬件齐全，服务不错，住宿环境好', '短评打分': 5}
{'短评内容': '房间里面硬件设施很齐全，舒适度很不错，卫生条件比较一般，酒店位置还行，出行挺方便，服务态度也很好', '短评打分': 5}
{'短评内容': '房间不大，卫生还好，床单被罩都挺干净，设施有些陈旧了，总体感觉还好。', '短评打分': 3}
{'短评内容': '服务挺好，设施挺齐全，位置也不错，出行挺方便的。', '短评打分': 5}
{'短评内容': '服务挺好，态度挺热情，办事挺积极的，效率也挺快，这点很满意。', '短评打分': 3}
{'短评内容': '酒店还不错，硬件设施比较齐全，服务人员态度挺好，周边交通也挺便利的。', '短评打分': 5}
