{'短评内容': '房间不错，干净卫生', '短评打分': 5}
{'短评内容': '从未住过这么吵这么闹这么差的。凌晨3点外面说话声汽车声此起彼伏。电话☎️赃兮兮的不说，还不好使。一进门发霉潮味……这个季节其他的宾馆也住过，没见过这样的。', '短评打分': 2}
{'短评内容': '没有早餐。可以加床，适合带孩子。位置很繁华，有停车场', '短评打分': 5}
{'短评内容': '隔音效果太差，电视不能看，电脑不能用，空调和拖拉机一样吵，隔壁还吵', '短评打分': 2}
{'短评内容': '还可以吧，，，，一般般', '短评打分': 5}
{'短评内容': '闪住竟然还收两百押金，退房时还查房，前台服务说这里就是这样，不解', '短评打分': 3}
{'短评内容': '好。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '好。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还可以。挺不错的', '短评打分': 5}
{'短评内容': '总体来说还行吧', '短评打分': 5}
{'短评内容': '还是泉州比较好', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '那房间的空调，别提了跟拖拉机声音一样的.一晚上愣是没敢开', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '太差了，', '短评打分': 1}
{'短评内容': '其实这样的价格还是算低了，总体还比较一般吧', '短评打分': 3}
{'短评内容': '房间没热水，房间隔音效果太差了，早上根本待不下去。很吵很吵，前台服务员服务意识差，速度又慢，对酒店知识了解还不够，不推荐入住。', '短评打分': 1}
{'短评内容': '还可以，态度好。干净，卫生', '短评打分': 3}
{'短评内容': '服务不错，交通方便，就是房间有点旧，不影响入住就是了，总体还可以', '短评打分': 3}
{'短评内容': '跟男朋友一块去的，我们都还觉得可以。房间不是很大，但设备还够齐全，晚上有好几波人往门缝塞黄色卡片。还有就是，都做成连锁了，居然还不能刷卡，还好身上带了现金', '短评打分': 3}
{'短评内容': '装修很时尚，酒店房间设置设计合理，床很大。', '短评打分': 5}
{'短评内容': '酒店隔音效果很差，其他整体还行，但是在当地如果是同等价位的情况下丝毫没有竞争力，因为还有其他商务酒店的选择更高档', '短评打分': 3}
