{'短评内容': '水不热，而且太旧了，浑身不舒服的酒店', '短评打分': 1}
{'短评内容': '环境和图片不符合和想象差别太大', '短评打分': 1}
{'短评内容': '房间及周边环境不好！', '短评打分': 3}
{'短评内容': '价钱便宜 感觉就是20年前酒店的设施 挨着百色起义纪念馆 位置比较偏 旁边有小市场 晚上有烧烤摊 价钱便宜 味道也不错', '短评打分': 3}
{'短评内容': '电视有点旧，床硬，其他的什么都好。', '短评打分': 5}
{'短评内容': '比较旧的酒店，年轻人不太适合，我们住的是三人间，就勉强住了一晚上，太旧了，都没有看到什么人住。呵呵。', '短评打分': 3}
{'短评内容': '很老的一个酒店，便宜便宜，因为是路过，所以追求不高，服务员素质还行，东西忘带了，查房发现专门给送下来了', '短评打分': 4}
{'短评内容': '住房不错～比较满意！！！', '短评打分': 5}
{'短评内容': '价格不算贵，但里面设施比较陈旧，很多是坏的', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还可以，这个价格应该说不错。', '短评打分': 5}
{'短评内容': '环境好一般，不过价格摆在那了', '短评打分': 1}
{'短评内容': '酒店设施陈旧，舒适度差，卫生一般，空调声响很大，制冷效果不明显，无线上网信号弱，无乎不能用，服务员服务还行！', '短评打分': 3}
{'短评内容': '还行吧！', '短评打分': 5}
{'短评内容': '环境可以，比较安静，装修老些。', '短评打分': 3}
{'短评内容': '房间太旧了，不过服务员蛮好的。定了豪华三人间，没有了，居然换了总统套房给我们住，可是就是太久没有人住，进去了感觉味道不好！', '短评打分': 4}
{'短评内容': '酒店3人房很大，豪华，设施齐全，卫生间小点，服务不错，周边游玩方便。', '短评打分': 4}
{'短评内容': '酒店比较好找，下高速真直走就找到。酒店设施齐全，卫生间小点，服务不错，还送早餐，国庆这个价格性价比较高。酒店离起义纪念馆很近，5分钟车程。', '短评打分': 4}
{'短评内容': ' 环境不错', '短评打分': 3}
{'短评内容': '装修比较陈旧了，床上用品比较也蛮旧。其余还可以。', '短评打分': 1}
{'短评内容': '早餐不错 床有点硬', '短评打分': 3}
{'短评内容': '酒店太旧,,而且门卡很难进去,很久才有反应............不过价格还不错.', '短评打分': 5}
{'短评内容': '该酒店比较好找，三人间超级大，最满意的是自助早餐，品种丰富。', '短评打分': 5}
{'短评内容': '卫生条件一般，服务态度也一般，下次不会再住了。', '短评打分': 1}
{'短评内容': '酒店挺干净整齐的~就是临街的房间很吵~过路很多大车.', '短评打分': 5}
{'短评内容': '酒店老了点，但很干净；早餐花色少，可是粉很好吃。', '短评打分': 3}
{'短评内容': '酒店还好了，那边酒店业也不是很发达，算是比较不错的酒店，可以推荐入住。', '短评打分': 3}
{'短评内容': '服务不错，卫生也还好，硬件设施舒适度比较一般。可以推荐入住。', '短评打分': 3}
{'短评内容': '酒店服务不错，设施环境也基本达标，整体来讲算是很不错的酒店，可以推荐入住。', '短评打分': 5}
{'短评内容': '性价比还可以吧，那边的酒店本身也不高，整体的设施环境也很达标。', '短评打分': 3}
{'短评内容': '百色四川大酒店，入住体验还可以，没什么不满意的地方。', '短评打分': 5}
{'短评内容': '酒店比较一般，不是特别喜欢，但下次还是到附近办事的话，不排斥还会入住这家店。', '短评打分': 3}
{'短评内容': '环境设施一般，不好也不差，卫生服务也比较达标。可以推荐入住。', '短评打分': 3}
{'短评内容': '百色这家酒店早餐还不错，种类挺多的，味道也可以。吃起来比较舒服。', '短评打分': 5}
{'短评内容': '四川还可以了，设施配置基本达标，环境卫生也还好。住的还算是比较满意。', '短评打分': 5}
{'短评内容': '服务还是很好的，员工都比较热情，尤其是客房服务。其它也基本达标。', '短评打分': 5}
{'短评内容': '酒店设施陈旧，在公路旁边，有停车场，自驾游比较合适', '短评打分': 5}
