{'短评内容': '酒店很好 服务态度一流', '短评打分': 5}
{'短评内容': '整体环境不错', '短评打分': 5}
{'短评内容': '不错，整体环境', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '不错，值得入住', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '该酒店前台小杜服务不错，酒店环境也很好。', '短评打分': 5}
{'短评内容': '环境不错 酒店也非常好 特别是前台的小张 小劳特别热情！', '短评打分': 5}
{'短评内容': '好评酒店很好。。。。。', '短评打分': 5}
{'短评内容': '很不错的酒店，非常舒服，出行方便。', '短评打分': 5}
{'短评内容': '不错很好 周边环境也不错就是离银滩有点远', '短评打分': 5}
{'短评内容': '不错很好 周边环境也不错就是离银滩有点远', '短评打分': 5}
{'短评内容': '我都还没有去，怎么评价？', '短评打分': 5}
{'短评内容': '海景房还是有些遥远海景，其他都很好', '短评打分': 5}
{'短评内容': '太不可靠了，定了付了款单方面随便就给你取消了，协调酒店改房型就解决的小问题也不愿意做。奇葩服务，尽可能少用京东 并且我会凭自己协调解决的入住单和京东无房取消短信找315，再不行就告吧，有变更履行的条件却单方解除合同给客户造成的损失 ，不是那个霸王条款能免责的。', '短评打分': 1}
{'短评内容': '地理位置方便，在北海算不错的了', '短评打分': 5}
{'短评内容': '很好的酒店，服务很好可以放心，喜欢。', '短评打分': 5}
{'短评内容': '还不错，价格也很便宜，用上优惠券的话', '短评打分': 4}
{'短评内容': '服务很贴心！每天都有开夜床服务！给孩子还有礼物！感觉很温暖！餐食很可口！床上用品很新！下次还会再次入住！！！', '短评打分': 5}
{'短评内容': '当地最好的酒店', '短评打分': 5}
{'短评内容': '当地最好的酒店', '短评打分': 5}
{'短评内容': '酒店的服务员很好，态度很不错，特别是礼宾部的刘中良和肖秀成，他们很有耐心的帮我们解决问题', '短评打分': 5}
{'短评内容': '位置好，离码头很近，服务好，免费升级了房间，服务员的素质高，强烈推荐！', '短评打分': 5}
{'短评内容': '服务很贴心，态度很热情。', '短评打分': 5}
{'短评内容': '环境很好，可惜的是元旦前一天入住，楼下午夜跨年庆祝太吵', '短评打分': 5}
{'短评内容': '总体就还好。一进大堂乱哄哄的很人声杂乱，房间隔音不好，卫生间推拉门不好用。楼下的小孩游乐区还不错。没有对比就没有伤害。。。第二天果断换到了香格里拉，的确好太多，五星酒店就是不一样。', '短评打分': 3}
{'短评内容': '算是北海比较好的酒店，在香格里拉和它直接选了它。含早餐并且离码头很近，亲子乐园也很好，离银滩也很近，可以在酒店借自行车骑过去，非常方便', '短评打分': 5}
{'短评内容': '房间还不错，不过窗外景致差点意思，住的城景房，真没什么景', '短评打分': 5}
{'短评内容': '比较差，网络不稳定，空调噪音大效果差，比富丽华差多了，不值这个价。服务也差，房卡打不开门叫自己下楼去重刅。房间也差。有送水果，二楼中餐厅不错。', '短评打分': 4}
{'短评内容': '硬件条件一般，没有五星级的标准。', '短评打分': 3}
{'短评内容': '酒店干净卫生，靠近银滩和海鲜市场！能看到较远的海景！', '短评打分': 4}
{'短评内容': '安静舒适 到金滩、银滩都很方便 唯一不方便的是周边商业配套不行', '短评打分': 5}
{'短评内容': '酒店硬件不错，服务也可以，但是离海边稍远，要坐车去游泳，风景不错，附近没有高层房子遮挡，价格稍贵，还能接受。', '短评打分': 3}
{'短评内容': '酒店的每一方便都很好。唯一不满的就是要出门时，打车的很难。酒店外面被一群黑帮出租车司机控制。每上他们的车，他们就不停的推存他们有回报的地点，商店等。你想去的，而他们每回报的东方，他们都用尽办法说服你别去。', '短评打分': 5}
{'短评内容': '酒店舒适。', '短评打分': 3}
{'短评内容': '新开的， 设施还不够完善。海景太远了点，房间还行', '短评打分': 5}
{'短评内容': '很好，酒店蛮新的，设施也蛮高档的，开元的品牌绝对是可以的，美中不足的就是我住的房间空调出风口旁有点霉掉了', '短评打分': 5}
{'短评内容': '酒店设施很新,服务很热情,早餐也很丰富.以后有机会还来.', '短评打分': 5}
{'短评内容': '酒店很新 硬件不错 只是去时泳池未开 说还在整修 有些失望', '短评打分': 5}
{'短评内容': ' 酒店条件、卫生都不错！全家人都很喜欢！下次来一定入住这家酒店！', '短评打分': 3}
