{'短评内容': '错过行程没入住，也退不了', '短评打分': 1}
{'短评内容': '房间还不错', '短评打分': 5}
{'短评内容': '房间不错，交通方便，设施齐全，卫生干净整洁!', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '房间里水也没有，纸巾都要收费，靠近马路，窗户没有任何隔音，没错，吵醒你的不是闹钟，是马路。12点15下去退房，超时费20，住过各种酒店，第一次遇到这种情况，各位要住的请务必慎重。', '短评打分': 1}
{'短评内容': '还可以吧。。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '七大五小住的很舒服，服务态度很好', '短评打分': 5}
{'短评内容': '垃圾酒店，门锁不上，让修一下，说了两次不给修，说没事，早上九点还在休息就把门打开充进来问打扫不，真垃圾，大家以后千万不要去了，', '短评打分': 1}
{'短评内容': '大学生一个人去九江考会从，朋友推荐的酒店，很幸运抢到了特惠房，真的特别好！首先服务人员的态度就特别好，然后房间卫生很好，还有小沙发小桌子，就是我那个房间灯坏了，我就住一晚所以也没有找服务人员解决。满分五分我给4.9哈哈，0.1怕骄傲。特别提醒我那个房间要200押金，大学生注意带好卡和现金~', '短评打分': 5}
{'短评内容': '酒店设施陈旧，入住环境很差。', '短评打分': 4}
{'短评内容': '房间小，隔音差！以前住的天海很满意，这次是很失望', '短评打分': 2}
{'短评内容': '商务单间光线太暗了，看个材料就不行，找服务员借个台灯还说只能用2个小时，别人等着用。最糟心的一次住宿。', '短评打分': 2}
{'短评内容': '前台接待！！服务态度欠佳啊', '短评打分': 4}
{'短评内容': '和照片上的完全不一样，小就算了，卫生间排水的还是坏的，搞得地上全是水！', '短评打分': 2}
{'短评内容': '不错，常客了', '短评打分': 4}
