{'短评内容': '没早餐，不加床，不适合带孩子，没有停车场，路边收费贵', '短评打分': 2}
{'短评内容': '因为重点放在晚上的夜游珠江，所以订的这个宾馆，超级方便，后面不远就是码头，晚上游船回来走夜路也不怕。', '短评打分': 5}
{'短评内容': '位置非常好，交通方便', '短评打分': 5}
{'短评内容': '闹市中的酒店，周边环境和设施不错！', '短评打分': 5}
{'短评内容': '酒店位置很好，旁边就是海印电器市场和珠江。', '短评打分': 5}
{'短评内容': '性价比比较好', '短评打分': 5}
{'短评内容': '住的很舒服', '短评打分': 5}
{'短评内容': '总体还不错！就是热水不怎么热', '短评打分': 5}
{'短评内容': 'GOOD GOOD GOOD朋友很是满意！', '短评打分': 5}
{'短评内容': '太差了。', '短评打分': 1}
{'短评内容': '房间较小。最大优点就是洗澡水比较好。水急大温度可调。', '短评打分': 4}
{'短评内容': '从来没有住过这么差的酒店', '短评打分': 3}
{'短评内容': '旧。附近没有超市，位置有点偏', '短评打分': 4}
{'短评内容': '酒店内的设施残旧无法直视，空气有很浓的异味，床间空间夹小，说是豪华大床房，这张床垫都坑Wa不平，波浪型，有图有真相，叫我怎能睡下。', '短评打分': 2}
{'短评内容': '带孩子去星海音乐厅看演出时必住的地，最喜欢的是卫生间，面积够大，地砖是鹅卵石式样的，孩子很喜欢', '短评打分': 3}
{'短评内容': '环境还可以  性价比高  交通也还方便  离北京路较近', '短评打分': 5}
{'短评内容': '房间的床很不舒服，前台的服务员态度也很不热情哦，我要先看一下房间，她只让我看照片。', '短评打分': 1}
{'短评内容': '不错的酒店，设施也还可以，只是有点难找，性价比高，知道推荐', '短评打分': 5}
{'短评内容': '总的来说还不错，不过隔音方面还需要改进，在房能听见房外有人在聊天', '短评打分': 5}
{'短评内容': '宾馆位置还是可以的，出行购物什么的挺方便', '短评打分': 5}
{'短评内容': '环境一般，我住的房间靠近马路有点吵，设施有点旧，服务还好！', '短评打分': 5}
{'短评内容': '真心比较差。。。。非常吵，环境也差，隔音效果几乎没有，隔壁看个电视我们这里听起来就像在唱卡拉ok。。热水洗的能让人绝望，水小就不说了，一下极烫，一下冰冷，就没有中间适合的温度。。。', '短评打分': 1}
{'短评内容': '地方太小了，房间很旧，比较脏，特别是沙发，不过交通还方便的 ', '短评打分': 1}
{'短评内容': '地点不错,但是房间内的情况不是很好,很多东西都很久,感觉很脏!', '短评打分': 1}
{'短评内容': '我在圣诞节订的酒店168!本想里面配置很好结果很差完全不值比130的酒店差多了!风筒什么的没有独立配置,隔音又差,最最重点的交通不是一般的差!去个地铁站都要坐几站的车!一个字差!以后有机会绝对不去这间酒店了', '短评打分': 1}
{'短评内容': '酒店环境还行', '短评打分': 3}
{'短评内容': '酒店服务人员很专业，交通方便，只是房间有点小，总体感觉还不错', '短评打分': 5}
{'短评内容': '环境不错，交通方便，评价有点晚，不好意思', '短评打分': 5}
{'短评内容': '酒店还行，离市场近，很方便', '短评打分': 3}
{'短评内容': '大沙岛实在太差，交易会就要翻三倍，鄙视！', '短评打分': 3}
{'短评内容': '环境不错，晚上可到江边赏夜景，宾馆设施齐全，只是略显老旧', '短评打分': 3}
{'短评内容': '.............................................................', '短评打分': 5}
{'短评内容': '如果不是为了办事方便，不会住这个酒店。它地段好，但房间设施简陋，一分钱一分货。', '短评打分': 3}
{'短评内容': '整体感觉还不错。管理也比较规范专业。就是一进去房间感觉有点小（单人标间），但后来发现那一地带的宾馆房间都小。房间设施比较齐全，每个房间没有电吹风，洗头后不方便。刚进去房间发现地有点不干净，可能是还没及时整理的缘故。总之，那种地段，那种价位还是不错的。', '短评打分': 5}
{'短评内容': '不错，挺干净，就是房间小点。', '短评打分': 3}
{'短评内容': '看到站上这么高的点评，结果自己去了真是失望，要不是离大沙头码近，我还真想不出来它有任何的优点，奉劝要去游船的人还是去附近的闹区住吧', '短评打分': 1}
{'短评内容': '位置很好，交通很便利，房间宽敞舒适，感觉很好。', '短评打分': 5}
{'短评内容': '酒店服务很热情，房间光线很好，宽敞明亮，也挺干净的，住的很舒适。', '短评打分': 5}
{'短评内容': '服务很专业，服务人员态度很友善，都是微笑服务，办事效率也很高，感觉挺不错。', '短评打分': 5}
{'短评内容': '酒店环境很安静，隔音效果很好，晚上睡觉听不到外面的嘈杂声，很满意。', '短评打分': 5}
{'短评内容': '服务员态度热情，对客人的需求也能及时响应。', '短评打分': 5}
{'短评内容': '这家酒店房间面积很大，感觉很宽敞，卫生打扫的也很干净，设施也比较齐全，感觉设计的很合理，住的很舒适。', '短评打分': 5}
{'短评内容': '房间干净舒适，采光好，床铺收拾的很整洁，住的挺舒服的，服务也比较到位。', '短评打分': 5}
{'短评内容': '酒店周边环境很好，周边交通很便利，风景也很好，挨着珠江，景色挺美的。感觉很舒适。', '短评打分': 5}
{'短评内容': '酒店的条件不怎么好，价格也高，服务和卫生也感觉一般，性价比不好', '短评打分': 1}
{'短评内容': '服务卫生方面还不错了.价格也能接受了.', '短评打分': 5}
