{'短评内容': '将就', '短评打分': 3}
{'短评内容': '环境很好，服务周到', '短评打分': 5}
{'短评内容': '房间可以', '短评打分': 5}
{'短评内容': '便宜是便宜，房间确实太老旧了。', '短评打分': 3}
{'短评内容': '服务态度不好，淋浴开关都是坏的，可以用老旧差形容', '短评打分': 2}
{'短评内容': '排水很差，洗个澡水都漫到房间来了', '短评打分': 4}
{'短评内容': '酒店沒电梯，房间卫生还可以。周边吃饭的小店很多，饭菜种类很多，小试了两个店，味道不错。房间的卫生间很差，冷热水压力小的可怜，虽有洗澡喷头，但因出水量小使用不便。订了二间房，一间是坐便马桶，另一间是传统冲水蹲坑……无语了!', '短评打分': 3}
{'短评内容': '还可以吧，也就100标准哪样子，4楼水压不管，热水不稳定', '短评打分': 4}
{'短评内容': 'very hotel only for the fact it is much too far away from the park. Taxis go to the park at around 8 in the morning so you can share a taxi and pay around 20 yuan.', '短评打分': 3}
{'短评内容': '卫生条件太差', '短评打分': 2}
{'短评内容': '卫生间地漏有臭味，设施陈旧，服务员态度也不好，不推荐。。。', '短评打分': 2}
{'短评内容': '总体不错，电话预约说是免费停车，结果走的时候还是收了十块停车费，房间隔音效果不好，', '短评打分': 5}
{'短评内容': '价格实惠，很好的选择', '短评打分': 3}
{'短评内容': '毛巾都没有换过，是脏的明显擦过辉！烧开水的热水器是坏的，很脏！', '短评打分': 4}
{'短评内容': '天气原因，未能入住', '短评打分': 3}
{'短评内容': '设备和装修有点过于陈旧和简陋，但出行，购物较为方便。', '短评打分': 1}
{'短评内容': '房间热水太凉，洗出感冒。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
