{'短评内容': '客栈很安逸！老板夫妇很逗很好相处！下次继续！', '短评打分': 1}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '老板娘很好 有一只很可爱的金毛 客栈挺安静的', '短评打分': 4}
{'短评内容': '老板很热情～还免费给我升了房～东西一应俱全，风格也很好～下次还来。', '短评打分': 5}
{'短评内容': '老板人很好，客栈很温馨，没有了标间给我们的大床房（蝶恋花），很漂亮，适合女孩子居住，环境很好，我还会再来的哦。', '短评打分': 5}
{'短评内容': '老板人很好，环境也非常好，住着非常的舒适。', '短评打分': 5}
{'短评内容': '老板娘美美da～热情～礼貌～还弹的一手好琴，绝对良心价哦，推荐大家哦～', '短评打分': 5}
{'短评内容': '因为之前预定的房间被人包院了，只能换房间，房间特别小，霉味很大，蚊子很多，没有找到洗浴的洗发水和雨夜，房顶有一片霉斑，隔音很不好，隔壁一对人每个动作都能脑补出来，心情很沮丧，老板和前台态度很好', '短评打分': 2}
{'短评内容': '非常不错！有机会还回来的！', '短评打分': 5}
{'短评内容': '老板特别热情，热情的我都受不了了。', '短评打分': 4}
{'短评内容': '位置不错，在丽江古城里，是个闹中取静的地方，酒店距离南门较近，出行方便，住宿环境很好，睡眠质量不错', '短评打分': 5}
