{'短评内容': '环境不错，可以', '短评打分': 5}
{'短评内容': '非常好。。。', '短评打分': 5}
{'短评内容': '挺不错的 ', '短评打分': 5}
{'短评内容': '可以的，就是没有拖鞋洗澡地好光', '短评打分': 5}
{'短评内容': '很干净 前台服务比较好', '短评打分': 5}
{'短评内容': '是9月29日晚上入住的环境不错室內卫生可以前台服务热情连住了两天，下次去石家庄还订那。', '短评打分': 5}
{'短评内容': '没有进去，没有住上，还让我评价干什么，没有房间了，就别卖了啊', '短评打分': 5}
{'短评内容': '经常住这家店，比较实惠，经常推折价房，服务也特别好', '短评打分': 5}
{'短评内容': '经济实惠，也挺安静的！', '短评打分': 5}
{'短评内容': '窗户对面有个电机，一晚上都不停叫！其他都还不错！', '短评打分': 5}
{'短评内容': '酒店位置比较幽静，服务也不错', '短评打分': 4}
{'短评内容': '卫生环境设施服务都还好！就是石家庄的雾霾受不了。', '短评打分': 5}
{'短评内容': '整体来说挺好的，干净卫生，服务也很周到，位置也很好找，就是周围环境不太好，挨着公交车站牌，出行也方便。', '短评打分': 5}
{'短评内容': '很好，很干净～', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '特别干净，但是可能我们去的有点早了，等到8点后才能入住', '短评打分': 5}
{'短评内容': '以后就来这了，很干净，交通方便又便宜', '短评打分': 5}
{'短评内容': '环境不错  就是找它不是特别明显  好好的', '短评打分': 5}
{'短评内容': '环境很好很不错', '短评打分': 5}
