{'短评内容': '不错，环境很好', '短评打分': 5}
{'短评内容': '房间感觉有些旧，卫生打扫的不是很彻底，洗手台上有头发，但工作人员态度很好，有礼貌，房间也挺大的，价格实惠。', '短评打分': 4}
{'短评内容': '门口有停车场，订的大床房还挺干净整洁，附近是居民区购物吃饭都方便，离景点也近，价格也不算贵，下次有机会去还是订这里', '短评打分': 5}
{'短评内容': '热水太慢了，房间隔音差', '短评打分': 4}
{'短评内容': 'fang\u2006jian', '短评打分': 3}
{'短评内容': '还可以吧相比较', '短评打分': 4}
{'短评内容': '好啊，太棒了', '短评打分': 5}
{'短评内容': '酒店设施一般，但卫生还可以！', '短评打分': 4}
{'短评内容': '酒店位置还行，属于老城区的吧，建筑装修比较老吧，一进大厅门就能闻到很重的霉味，吧台工作人员说是靠海边的原因。晚上睡觉屋顶居然在漏水我也是醉了，还好不在床上。我用了一个垃圾桶接水。估计是空调的水，房间是中央空调。后来白天出来看，好几处楼顶都有漏水痕迹。不过我还是要夸夸店家的。我到的时候说订的房间没有了，不过店家后来给我调了一间套房，还是不错的。', '短评打分': 4}
{'短评内容': '设施有点老，服务很好，早餐也不错！', '短评打分': 5}
{'短评内容': '一分价钱一分货', '短评打分': 5}
{'短评内容': '还行吧，因为这个价位配旅游区景点的房价。', '短评打分': 5}
{'短评内容': '将近半夜12点入住，上楼一股臭味，房间水杯里还有发霉的茶叶，真恶心！牙膏开口的盖子都没有，唉，价格倒的不便宜，怎么这样呢？忘了拍照，不然上图看真相！', '短评打分': 1}
{'短评内容': '酒店位置不错，设施一般，还可以。推荐。', '短评打分': 5}
{'短评内容': '酒店位置比较偏，离热闹的拍档区域有点远，房间干净，以此价位定性价比高，还含早餐，早餐相对简单，但红糖发糕味道很好值得推荐。', '短评打分': 5}
{'短评内容': '还可以，价格偏高', '短评打分': 3}
{'短评内容': '地方有点偏，我是第二次入住了，安静。住的时间短，所以对服务啥的没有多大印象。总之，感觉还行。', '短评打分': 5}
{'短评内容': '酒店环境还可以，早餐花样少了点，离南沙10多分钟车程。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '前台结账就一个人，很慢，酒店内设置一般还行，就是一到周末价格会翻倍- -', '短评打分': 1}
{'短评内容': '周末去太贵，568的价格跟这个酒店的设施来说真是超贵。', '短评打分': 1}
{'短评内容': '酒店位于各个景点的中间位置，去乌石塘约六分钟车程，费用10元。去南沙十三分钟，费用20元。酒店服务周到，闹中有静，就餐方便。', '短评打分': 3}
{'短评内容': '白玉兰酒店比所说的差，服务态度不敢恭维，卫生较差，说是新建半年的酒店太不靠谱。', '短评打分': 3}
{'短评内容': '酒店价格偏高，位置偏（小镇本也不大），但餐厅菜品做的还好！', '短评打分': 1}
{'短评内容': '酒店还行还算可以，只是房间里面是有些潮湿，早餐不是很好吃的东西很少也没有好多能吃的东西，位置也是很难找的而且当地的出租车很难打到特别少。', '短评打分': 1}
{'短评内容': '出门开车5分钟就是海鲜大排档 15分钟就到南沙了 装修值四星了 餐厅也不错 房间设施挺完善的 就是电脑是坏的', '短评打分': 5}
{'短评内容': '我们已入住', '短评打分': 5}
{'短评内容': '酒店是蛮好的，位置还可以，卫生设施都还行，价格好像是有些高了。', '短评打分': 5}
{'短评内容': '位置好挺方便出行的,服务各方面也不错,就是硬件设施方面有些陈旧,不过综合来讲也算不错.', '短评打分': 5}
{'短评内容': '说是四星级酒店但是达不到那个标准，前台连时钟都没有卫生还算可以设施还是比较新但是有些细节方面还是达不到那个标准，服务还行但是酒店的环境总体来看价格还是偏高了。', '短评打分': 1}
{'短评内容': '设施不错，服务也还可以。就是早餐显得差强人意。', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，住着还凑合，下次如果还在附近出行会考虑入住的。', '短评打分': 5}
{'短评内容': '位置不好，刚装修完的旅馆，颜色鲜艳，品味很低；店内味道呛鼻，尚不宜入住，早餐就像大排档。', '短评打分': 1}
{'短评内容': '这家酒店是新开的，比想象中的好 就是刚好碰上五一 价格有点高 不过还算是干净的 就是被子太厚了 30&#176;的高温 盖着有点吃不消 早餐味道倒算还不错', '短评打分': 3}
{'短评内容': '这家酒店是新开的，比想象中的好', '短评打分': 5}
