{'短评内容': '位置是不错啊 就是房间好小 帮人订的', '短评打分': 5}
{'短评内容': '订酒店用京东也是很方便的 价格实惠，还能白条送京豆', '短评打分': 5}
{'短评内容': '交通比较方便', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '一分钱一分货吧', '短评打分': 3}
{'短评内容': '位置不错 价格也比较优惠 ', '短评打分': 4}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '早餐只剩下白粥和小菜，没有其他吃的，厕所有股味道很臭，水不热', '短评打分': 2}
{'短评内容': '酒店很舒服，服务非常好，就在火车站旁边，出行都十分方便', '短评打分': 5}
{'短评内容': '酒店很舒服，服务非常好，就在火车站旁边，出行都十分方便', '短评打分': 5}
{'短评内容': '位置很好，性价比很高。服务员态度都非常好', '短评打分': 5}
{'短评内容': '位置很好，性价比很高。服务员态度都非常好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店环境舒适，外景很好，楼层高空气好，', '短评打分': 5}
{'短评内容': '在现场遇见携程在做5折活动.实在有优惠,交通也非常方便！', '短评打分': 5}
{'短评内容': '推荐', '短评打分': 4}
{'短评内容': '推荐', '短评打分': 4}
{'短评内容': '酒店和办公楼在一起，电梯慢，早餐不咋地，   ', '短评打分': 1}
{'短评内容': '非常差劲，服务和房间都太垃圾了，晚上连热水都没有，停车场老鼠一大群，不建议去住银河', '短评打分': 1}
{'短评内容': '办完入住，一进走廊心就凉了，NND下面全都是办公单位，只有上面基层是酒店，而且房间实在是破的要命，电视居然还是20几寸的，纯平的都不是，十几年前的老电视，装修破的实在是不行，应该是80年代的装修风格，应该也用了有10来年了，哪哪都是坏的。千万别来，吃一堑长一智。。还是住锦江，七天比较靠谱。。。。', '短评打分': 1}
{'短评内容': '酒店太差，设施陈旧，简陋，房间还有异味。我定的是三人间，到了之后却告诉我没有三人间，给我安排一个标间，结帐的时候却按三人间收钱，太无耻了。', '短评打分': 1}
{'短评内容': '这酒店根本没大堂，门口倒是很繁华', '短评打分': 3}
{'短评内容': '交通还算方便，就是房间小。', '短评打分': 3}
{'短评内容': '酒店客房温馨雅致、豪华舒适、每一细节尽显心思，皆为名师匠心独运的杰作-太夸张了，房间小，还是电热水器，蜘蛛到处爬', '短评打分': 3}
{'短评内容': '还可以啦！&lt;br /&gt;\n价位比较能接受。', '短评打分': 3}
{'短评内容': '就是离火车站太近,结果一晚上都是汽笛声,早上很早就又开始响.要是想睡到8点是不可能了', '短评打分': 3}
{'短评内容': '马马虎虎，没有网页上吹得好。', '短评打分': 3}
