{'短评内容': '老板很好的', '短评打分': 5}
{'短评内容': '位置特别好，下楼走几步就到钟鼓楼，小吃一条街也在附近；公寓里很干净，有双床的，也有三个床的，密码锁，安全方便。', '短评打分': 5}
{'短评内容': '很好的酒店，不错的选择，很好', '短评打分': 5}
{'短评内容': '很不错的老板，很热情，不错的选择', '短评打分': 5}
{'短评内容': '酒店位置很好 离地铁站和钟楼都很近 交通很方便 老板人很好 很热心 给我们很多帮助', '短评打分': 5}
{'短评内容': '老板人很好，很热情，酒店地理位置好，吃饭很方便，总之就是性价比很高', '短评打分': 5}
{'短评内容': '环境很好，住着很舒服，老板很热情，有求必应，赞', '短评打分': 5}
{'短评内容': '黑店，身份证已经登记，房款已付，但是不让住', '短评打分': 1}
{'短评内容': '房间比较大，但是楼道有些黑，容易迷路，住的很舒服，比较开心的一次入住', '短评打分': 4}
{'短评内容': '服务好，交通方便，出门就看见钟楼鼓楼，还有紧挨着回民街，大厦三楼也有餐饮。三楼餐饮是早上十点到晚上十点的哦。', '短评打分': 5}
{'短评内容': '酒店位置超级好，离钟楼几步路。房间很大，卫生也不错。值得推荐入住。', '短评打分': 5}
{'短评内容': '很好，服务很赞，性价比很好，地段繁华', '短评打分': 5}
{'短评内容': '第一次入住酒店式公寓，由于位置在旧城区中心，入住出行都很方便。两个老人家住得安心，说很有家的感觉，下次都考虑入住这里', '短评打分': 5}
{'短评内容': '房间很大，很干净，很棒，不错的选择，顺带给去旅游了下，哈哈，老板推荐的', '短评打分': 3}
{'短评内容': '只想住钟楼，就选了他家，公寓式的，但是超级温馨服务', '短评打分': 3}
