{'descr': '房间虽然有窗，但是窗外就是一堵墙。', 'star': 5}
{'descr': '为了带孩子去天安门选择住在这里，骑单车10分钟左右就能到，太方便了，而且离西单也非常近', 'star': 5}
{'descr': '号', 'star': 5}
{'descr': '搞笑啊 房间光线太亮了 窗帘不遮光，早饭等到八点都没来，还不让吃饱！！！ 住过最差的七天，不知道这么高的分是怎么刷出来的，以后不会住了。', 'star': 1}
{'descr': '好，非常好，舒服', 'star': 5}
{'descr': '房间窗户对着前台，一楼烧菜吗？油烟味这么重！！不知道的人还以为住饭堂', 'star': 1}
{'descr': '方便快捷价格还优惠，出行都在京东订房！', 'star': 5}
{'descr': '为了看升国旗住了一天，房间有点反味，其他都还不错', 'star': 5}
{'descr': '位置在国家大剧院西面200米 家人早上带孩子看升旗住了一晚 管理很严格访客都要登记身份 证 服务挺热情条件比较一般', 'star': 5}
{'descr': '非常好，满意', 'star': 5}
{'descr': '可以，卫生干净', 'star': 5}
{'descr': '太旧了，1楼还有蚊子，性价比不高', 'star': 4}
{'descr': '好好好好好好好好好', 'star': 5}
{'descr': '房间一般，没窗户！但一个人住住还行！另外，北京冬天真是不舒服！7元早餐还行', 'star': 4}
{'descr': '还不错', 'star': 5}
{'descr': '网上预订时价格为277元，实际付款价格为377元，有欺诱嫌疑。应该是网上公布实际价格，实际付款时再按照优惠等付款', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '帮朋友定的，说不还不错！', 'star': 5}
{'descr': '不错，卫生方便＆＾＆', 'star': 5}
{'descr': '位置好', 'star': 4}
{'descr': '位置不错，靠近国家大剧院。服务不错，没早餐，需自备食物或在附近路边解决。', 'star': 4}
{'descr': '挺好的，离地铁线较近，周围是居民区，吃饭出行还是很方便的，卫生也不错。我还推荐给了同事', 'star': 5}
{'descr': '还可以咯，价格合适', 'star': 5}
{'descr': '很好', 'star': 5}
