{'短评内容': '还算舒服的啦。', '短评打分': 5}
{'短评内容': '位置不错，环境也好，位置不错，环境也好，位置不错，环境也好，位置不错，环境也好，位置不错，环境也好，位置不错，环境也好。', '短评打分': 5}
{'短评内容': '交通便利，环境不错，商务快捷酒店中是不错的。交通便利，环境不错，商务快捷酒店中是不错的。关键是早餐也挺不错。', '短评打分': 5}
{'短评内容': '住了几天了感觉越来越好，住了几天了感觉越来越好，住了几天了感觉越来越好，住了几天了感觉越来越好，支持。', '短评打分': 5}
{'短评内容': '经常住银座佳驿酒店，一个是各地方差不多都有很方便，另外一个就是住的习惯了，每到一个地方就先找看看有没有银座佳驿。', '短评打分': 5}
{'短评内容': '住着不错，每次出差基本都住在银座佳驿快捷酒店，住着不错，每次出差基本都住在银座佳驿快捷酒店，挺不错的。', '短评打分': 5}
{'短评内容': '还好 吃方便', '短评打分': 5}
{'短评内容': '好  温馨  舒适  环境不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '舒适  好  温馨！！！！！！', '短评打分': 5}
{'短评内容': '很不错！', '短评打分': 5}
