{'短评内容': '酒店不错，干净整洁，经济实惠，蛮温馨的。服务也可以', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '受朋友相约，南昌代表队也住在这。干净、卫生，价廉物美，交通方便，门口就有公交站，BRT也不远，300多米吧，去高铁站。出门左手有两个小吃店，还好。', '短评打分': 5}
{'短评内容': '房间一般，灯光偏暗', '短评打分': 4}
{'短评内容': '没吃过早餐！有停车场！去晚了停车位置比较紧张！别的都还可以！                     ', '短评打分': 5}
{'短评内容': '性价比高，环境适中，附近吃饭和购物方便.公交出行也方便。离客运中心很近，对于去杭州萧山机场也比较方便。', '短评打分': 5}
{'短评内容': '还算是凑合吧', '短评打分': 4}
{'短评内容': '酒店比较旧了，住的单人间，房间比较小。玻璃上的贴纸有破损了。房间收拾得挺干净。打扫卫生的阿姨还帮我把空调调好了，每天还帮我打扫干净，非常满意。酒店到绍兴北站很方便，我从绍兴北站直接坐BRT1快速公交直接到乐苑新村下车，走几百米就到了。酒店门口有老台门早点，每天都在那吃，包子和豆浆，味道很棒。这里离书圣故里很近，可以去逛逛。', '短评打分': 5}
{'短评内容': '交通方便，紧临鲁迅故里、商业区。经济、实惠、方便', '短评打分': 5}
{'短评内容': '太吵了！建议先上房间看看！', '短评打分': 4}
{'短评内容': '酒店很实惠', '短评打分': 5}
{'短评内容': '实惠', '短评打分': 5}
{'短评内容': '房间老旧了，该装修了，这家店从开业就在住，有点感情了', '短评打分': 5}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '周边环境可以，距离景点也很近，服务也还行，就是设施稍微有点陈旧，总体还是性价比挺高的', '短评打分': 5}
{'短评内容': '房间很大 交通方便', '短评打分': 5}
{'短评内容': '感觉不错的 比较优惠~nice', '短评打分': 5}
{'短评内容': '很好。满意，我已两次选择莫泰入住了，我想下次还是首选。', '短评打分': 5}
{'短评内容': '预订的是商务大床房，里面设施比较陈旧，大床是用2张小床拼起来的（拼接处高低不平），睡着很不舒服。前台服务也不怎么样，早餐券需要向前台讨要。早餐比其他的莫泰都要差！', '短评打分': 1}
{'短评内容': '还可以吧   这个价格 不错了  感觉还是比较舒适的', '短评打分': 5}
{'短评内容': '房间很小，附近吃饭不方便', '短评打分': 3}
{'短评内容': '房间方方正正的还算可以，电视太小了，好换了，空调声音比较大，其他没啥，有塞小纸条的，是喜欢按摩的朋友们不错的选择。。。', '短评打分': 5}
{'短评内容': 'QQ房的床比我想象中的大些，虽然费那个房间小了点，但对于一个人来住的话，还是不错的不错，只是电视机有点迷你了。。', '短评打分': 5}
{'短评内容': '每次去绍兴都住这家店，服务态度非常好。美林阁的东西也很好吃，交通便利，到哪里都很近。', '短评打分': 5}
{'短评内容': '门口就有公交车站，交通便利，房间较小，总体来说还算不错', '短评打分': 5}
{'短评内容': '距离火车站还是很近，打车10块就够了，房间很干净。前台的服务人员也很有礼貌很热情', '短评打分': 5}
{'短评内容': '交通方便、价格实惠、服务周到，适合情侣临时开房操作。\n', '短评打分': 5}
{'短评内容': '房子真的是太Q了,卫生环境还行', '短评打分': 3}
{'短评内容': '出行方便，有停车场，门口就有公交车站。隔音一般，卫生间地漏有一股返潮的味道。卫生还好，设施还好。', '短评打分': 5}
{'短评内容': '酒店位置出行方便，门口就有公交车站，屋内设施简单够用，较安静，干净。', '短评打分': 5}
{'短评内容': '  特价房是住在一楼的，卫生还不错，就是有一点不好的是停车真的很不方便。', '短评打分': 5}
{'短评内容': '还不错，干净简单~还算安静~值得推荐哦~~\n', '短评打分': 5}
{'短评内容': '交通还比较方便，但是给我的房间靠近路边很吵，浴室出水也比较弱，希望只是个别现象吧。', '短评打分': 5}
