{'短评内容': '隔天定的148元每晚，带双早，性价比高。停车周边马路及停车场随便停。今晚去住宿，碰巧有俩家聚会，一家生日宴一家婚庆喜宴，停车位有点紧张。还好保安看我担心贴单，就带我停到地下室。真的好感动。我想在酒店吃点晚餐，今日招待忙不过来，经理打招呼请到外面的其他饭店去吃饭。客房很不错，干净，干净，还是干净。服务员很热情周到。洗漱用品很全。就是背靠铁路，机车开过的汽笛声和发动机声无法掩盖。不习惯的就将就一下了。', '短评打分': 5}
{'短评内容': '已经是第三次了，这几天都住这里，点个赞', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '环境不错，卫生也很好，前台也很客气。下次还住', '短评打分': 5}
{'短评内容': '房间舒适，正解', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '帮朋友订的，朋友说还行，以后还会选择这里的，推荐！', '短评打分': 4}
{'短评内容': '很不错的位置和环境，也很安静！', '短评打分': 4}
{'短评内容': '酒店服务，设施都比较好。', '短评打分': 4}
{'短评内容': '还不错的价格便宜，就是房间灯有点暗。', '短评打分': 4}
{'短评内容': '空调美开，冷！', '短评打分': 3}
{'短评内容': '酒店有点老了，隔音那是真的差，但就出差一般住住也还可以的！', '短评打分': 4}
{'短评内容': '环境还可以，就是早餐品种有点少。\n交通比较便利，离火车站和汽车站都很近。', '短评打分': 5}
{'短评内容': '酒店总体还是不错的，就是结账太慢了！房间隔音不好！', '短评打分': 5}
{'短评内容': '不错 我每次去基本就那里了   这次去还没订到房 爆满 下次\n要早', '短评打分': 5}
{'短评内容': ',我已到长兴红玫瑰大酒店,目前感觉还行,谢谢!金伟', '短评打分': 3}
