{'短评内容': '环境很好，服务员也很好值得点赞', '短评打分': 5}
{'短评内容': '到店交通很方便', '短评打分': 3}
{'短评内容': '酒店位置还不错', '短评打分': 3}
{'短评内容': '还行吧 比想象中好一点 没什么特别惊喜', '短评打分': 3}
{'短评内容': '酒店位置很好很方便，出门几分钟就到海边，老板娘也很热情！第一次去三亚还是推荐去大东海的，两室一厅适合一家人出游！', '短评打分': 5}
{'短评内容': '服务不怎么好 硬件还过得去 马马虎虎吧', '短评打分': 2}
{'短评内容': '位置好。房间设施全，但旧。中规中矩的公寓。', '短评打分': 4}
{'短评内容': '属于金茂海景花园，环境好，特别适合一家人出游，可以做饭，下次来还会选择。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还好吧，酒店服务还可以', '短评打分': 4}
{'短评内容': '很不错。停车方便。和海近。吃饭方便。这价格值', '短评打分': 3}
{'短评内容': '离大东海很近。自己开火比较实惠。', '短评打分': 3}
{'短评内容': '很棒的海景房，大大的阳台，适合一家人居住，小区的环境也非常好', '短评打分': 3}
{'短评内容': '住得还是挺舒服的。就是要自己做清洁很讨厌!!感觉真的是在自己家一样！！！', '短评打分': 5}
{'短评内容': '很好，很实惠，特别适合家庭出游。有家的感觉，很方便。价格比较合适，离海也近。', '短评打分': 5}
