{'短评内容': '国营宾馆，你懂的，还算好吧', '短评打分': 4}
{'短评内容': '招待所的级别而已。作为旅游城市，前台服务员没有热情。现在宾馆上网还有障碍吗？这里有。', '短评打分': 2}
{'短评内容': '位置不错，交通方便。房间一般，实惠', '短评打分': 4}
{'短评内容': '环境一般，设施简陋，床小，老宾馆了。凑合还行。', '短评打分': 3}
{'短评内容': '应该是老牌的饭店了，设施什么的一般般，是个正规的饭店，没空调，7月份去的，晚上也不需要空调。我觉得空调睡多了也不舒服。', '短评打分': 3}
{'短评内容': '很垃圾，毛巾都是硬的。前台服务阿姨的态度还不错。', '短评打分': 1}
{'短评内容': '位于市区内，附近吃饭还是比较方便的，不过房间不是很好。说是有宽带需要20元付费。说明要开通，没想到一天都没有解决，知道效率了吧。个别房间电视开不了，也关不了。出差很累就睡着了，结果由于声音很小，它开了一晚上，真是不好意思。从各项服务比对，价格过高。', '短评打分': 1}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '卫生太差，设施老旧，服务态度也不好，又不是24小时热水，蚊子多又不给提供蚊香，简直没法住', '短评打分': 1}
{'短评内容': '雄关宾馆设备陈旧，环境差，卫生不怎么样！', '短评打分': 1}
{'短评内容': '刚入住,位置較好.酒店較老,设施陈旧,中午12点至晚8点无热水供应.', '短评打分': 1}
{'短评内容': ' 客服太差 房间没热水 实在太差了', '短评打分': 3}
{'短评内容': '地點及服務不錯。熱水供應穩定，床舖乾淨舒適，洗手間設備較舊但全部功能正常。以150元的價錢來說很不錯。', '短评打分': 5}
{'短评内容': '房间设计装潢的很不错，迎宾小姐态度很热情，房间卫生条件不错，住宿环境还是挺好的', '短评打分': 5}
{'短评内容': '酒店位置还行，停车比较方便，房间硬件设施不错，很齐全，服务很好，热情周到，住宿环境不错', '短评打分': 5}
{'短评内容': '酒店在火车站附近，周边出行购物都很方便，这的服务不错，服务员随叫随到，房间舒适度很好', '短评打分': 5}
{'短评内容': '住宿条件一般，尤其是卫生间太小，居然还有个浴缸，热水供应时间太短', '短评打分': 1}
{'短评内容': '环境不错，安全性很高，服务人员态度也很好，性价比很高。', '短评打分': 5}
{'短评内容': '酒店主要是位置很优越，周边交通很便利，出行很方便。', '短评打分': 3}
{'短评内容': '国营形式的，挺规范的，位置很好，出行很方便。', '短评打分': 3}
