{'短评内容': '价格稍微高了点，房间小', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 5}
{'短评内容': '环境不错，都是连锁的，周围吃的也很多。服务人员态度都真的很好，保洁大姐人也很热情。', '短评打分': 5}
{'短评内容': '环境便利，价格比普卡便宜', '短评打分': 4}
{'短评内容': '各方面都不错', '短评打分': 5}
{'短评内容': '性价比超高！不错！', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '可以可以', '短评打分': 5}
{'短评内容': '干净整洁，就是浴室太小了', '短评打分': 5}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '钟点基本都从这里，一直感觉还是不错的。服务很好，另外位置也不错。对面就是中百，应该是商务人士的首选。', '短评打分': 4}
{'短评内容': '非常好，过年家里住不开，和妹妹出来住的。很干净', '短评打分': 5}
{'短评内容': '酒店无论是环境还是服务都很不错，值得好评！尤其价格，离青岛和济南都不远，价格只是这两个地点的三分之一，因此性价比蛮高！', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '这是我住过的锦江之星里边最差的，房间小隔音差，不推荐', '短评打分': 3}
{'短评内容': '环境好，舒服', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店内的隔音不是很好！希望店家再改进一下！早餐很美味！', '短评打分': 5}
{'短评内容': '好~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '干净，就是隔音效果不佳，总体不错，好评，推荐入住', '短评打分': 5}
{'短评内容': '酒店比较干净，附近也有大超市。就是交通相对有点不方便', '短评打分': 5}
{'短评内容': '酒店位置挺好，服务也不错，就是隔音有点差', '短评打分': 5}
{'短评内容': '酒店地理位置还行，就是周边没有公交车站，出行有点不方便。周围也没有超市。', '短评打分': 5}
{'短评内容': '感觉很干净，温馨，不错的一家店。早餐稍贵点。', '短评打分': 5}
{'短评内容': '这家锦江之星宾馆不错，交通很是方便，离商业街也近。卫生不错，服务态度也不错，就是早餐的花样少了点儿，第二次入住', '短评打分': 5}
{'短评内容': '服务很好,常住各地区的锦江,唯一缺点是隔音,会吵,隔壁说话放电视都听的到,所以只好一直在听歌了', '短评打分': 3}
{'短评内容': ' 很整洁环境很好，就是浴室太小，一转身就碰到龙头', '短评打分': 3}
{'短评内容': '服务态度很好，吃饭、购物也挺方便，楼下是个川菜馆，对面是中百大厦诸城店', '短评打分': 5}
{'短评内容': '酒店还行吧，基本上和我住过的锦江都差不多，价格也不是很贵。', '短评打分': 5}
{'短评内容': '挺好，干净、价格实惠，就是房间没有洗发和沐浴露', '短评打分': 5}
{'短评内容': '酒店位置很好，在市里的中心位置，房间干净，锦江之星还是很值得推荐的！', '短评打分': 5}
