{'descr': '离市区不远 打车起步价就可以到火车站 15元到湖南路 很干净 不吵闹 旁边还有超市 不错', 'star': 5}
{'descr': '离市区不远 打车起步价就可以到火车站 15元到湖南路 很干净 不吵闹 旁边还有超市 不错', 'star': 5}
{'descr': '离市区不远 打车起步价就可以到火车站 15元到湖南路 很干净 不吵闹 旁边还有超市 不错', 'star': 5}
{'descr': '离市区不远 打车起步价就可以到火车站 15元到湖南路 很干净 不吵闹 旁边还有超市 不错', 'star': 5}
{'descr': '＋经济实惠，虽然早餐差点，但是毕竟有免费早餐！', 'star': 3}
{'descr': '＋经济实惠，虽然早餐差点，但是毕竟有免费早餐！', 'star': 3}
{'descr': '不错挺好！可以放心入住！地理位置各方面都挺好！', 'star': 5}
{'descr': '不错挺好！可以放心入住！地理位置各方面都挺好！', 'star': 5}
{'descr': '交通挺方便，服务也不错。当时住的无窗房，味道有点大。总得来说还是值得入住的，对得起这价位。走的时候忘记开发票了，还是希望前台能提醒一下客人，那就人性化了。', 'star': 5}
{'descr': '交通挺方便，服务也不错。当时住的无窗房，味道有点大。总得来说还是值得入住的，对得起这价位。走的时候忘记开发票了，还是希望前台能提醒一下客人，那就人性化了。', 'star': 5}
{'descr': '不错，房间蛮好的', 'star': 3}
{'descr': '不错，房间蛮好的', 'star': 3}
{'descr': '帮朋友订的,据说房间很小,卫生不是很好,床单和被子都没有换干净的', 'star': 1}
{'descr': '帮朋友订的,据说房间很小,卫生不是很好,床单和被子都没有换干净的', 'star': 1}
{'descr': '房间空调太不给力，结果盖了两床被子，还是受凉感冒了', 'star': 1}
{'descr': '房间空调太不给力，结果盖了两床被子，还是受凉感冒了', 'star': 1}
{'descr': '房间干净、安静。服务员很热情。特别是前台服务员还热情地帮着指引去目的地的路线，交通方便，是下次来南京的首选的快捷酒店。', 'star': 5}
{'descr': '房间干净、安静。服务员很热情。特别是前台服务员还热情地帮着指引去目的地的路线，交通方便，是下次来南京的首选的快捷酒店。', 'star': 5}
{'descr': '不干净 服务态度也不是很好\n房间灯只有一个 而且地面上也不干净 被子很薄～', 'star': 1}
{'descr': '不干净 服务态度也不是很好\n房间灯只有一个 而且地面上也不干净 被子很薄～', 'star': 1}
{'descr': '性价比是可以的，房间也很清洁，空调也很好用，墙壁是薄了一点，睡觉比较惊醒的人就不要去。', 'star': 5}
{'descr': '性价比是可以的，房间也很清洁，空调也很好用，墙壁是薄了一点，睡觉比较惊醒的人就不要去。', 'star': 5}
{'descr': '电话免费打，很好！我住的是没窗的，嘻嘻，舒适度差了点', 'star': 5}
{'descr': '电话免费打，很好！我住的是没窗的，嘻嘻，舒适度差了点', 'star': 5}
{'descr': '酒店很旧，前台服务人员估计一个人忙不过来，感觉很不正规', 'star': 1}
{'descr': '酒店很旧，前台服务人员估计一个人忙不过来，感觉很不正规', 'star': 1}
{'descr': '还不错，交通蛮便利的。', 'star': 3}
{'descr': '还不错，交通蛮便利的。', 'star': 3}
{'descr': '电视不好用…，设施不齐备，可能个别现象，没大行宫的速8好', 'star': 3}
{'descr': '电视不好用…，设施不齐备，可能个别现象，没大行宫的速8好', 'star': 3}
{'descr': '酒店还不错，干净整洁。性价比高。', 'star': 3}
{'descr': '酒店还不错，干净整洁。性价比高。', 'star': 3}
{'descr': '挺好的挺干净的，向大家推荐。', 'star': 3}
{'descr': '挺好的挺干净的，向大家推荐。', 'star': 3}
{'descr': '还可以,装修比较新,住了下圆床.早餐很一般. \n\n', 'star': 5}
{'descr': '还可以,装修比较新,住了下圆床.早餐很一般. \n\n', 'star': 5}
{'descr': '原来就是速8，服务态度很好，装修简单，不能刷卡。', 'star': 1}
{'descr': '原来就是速8，服务态度很好，装修简单，不能刷卡。', 'star': 1}
{'descr': '交通方便，离火车站，长江大桥近，早餐一般，毕竟是送的。卫生条件还行，热水，空调都不错。', 'star': 5}
{'descr': '房间还算干净，隔音效果不是很好，另外，特价房很便宜，可是没有窗户的。', 'star': 1}
{'descr': '一般', 'star': 3}
{'descr': '太简陋了，标间还要170，一进门房间里面味道很难闻，反正太不值这个价钱了。性价比太低。', 'star': 1}
{'descr': '基本满意，环境、卫生都还可以，在这个价位送双早上算是一个好选择了。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '总体来说可以吧   就是电视不行  要是背投的就好多了！', 'star': 5}
{'descr': '房间特别小，而且破。。。设施比较简陋，水龙头很轻容易乱喷', 'star': 1}
