{'短评内容': '我很满意哦', '短评打分': 5}
{'短评内容': '还不错，可以。', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 5}
{'短评内容': '干净整洁，早餐一般', '短评打分': 4}
{'短评内容': '&ldquo;会讲故事的人，\n控制着这个世界。&rdquo;\n\n&ldquo;你本来就是个孤品，\n何必活得像个爆款。&rdquo;', '短评打分': 5}
{'短评内容': '环境很好，地方偏了点，早餐也挺好的，床大，很软，睡得很舒服', '短评打分': 5}
{'短评内容': '服务很好，环境很好，房间很大，下午的时候还送了水果，可惜我一个人住，浪费了半张床和一张早餐券', '短评打分': 5}
{'短评内容': '性价比不是很高高～餐饮不是很满意～', '短评打分': 5}
{'短评内容': '很不满意的一次住宿体验，到酒店办入住的时候，前台居然说没有我的订单，无法办理入住。然后就是各种电话联系售后，一家人等了近1个小时才住进去。', '短评打分': 1}
{'短评内容': '整体感觉不错', '短评打分': 5}
{'短评内容': '很好很干净工作人员态度很好', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '超好', '短评打分': 5}
{'短评内容': '超级满意的一次住宿。房间还给免费升级了。服务超级满意。就是退房速度太慢。等了好久。早餐也是非常好吃的', '短评打分': 5}
{'短评内容': '房间还好 早饭比以前差了', '短评打分': 4}
{'短评内容': '房间和环境服务都很好', '短评打分': 5}
{'短评内容': '酒店非常大气，漂亮。晚上湖边烧烤很有情调。', '短评打分': 5}
{'短评内容': '本来是自己去萧山浙江建院考试，就顺便带老婆孩子一起去玩，到了建院一带发现那里简直就像乡下了，脏乱差！但是没想到相隔只有两公里的这家酒店却让人眼前一亮！酒店周边环境很漂亮，有湖、有塔、有别墅群，停车什么也非常方便。前台服务态度很好，帮我们把高级单间升级到行政单间。房间很大，该有的都有，还有个很大的阳台。唯一不足的地方就是打扫卫生的服务员稍微马虎了点，简简单单打扫一下就走了，一些细节都没注意，比如说用', '短评打分': 5}
{'短评内容': '代表但是并不是你', '短评打分': 5}
{'短评内容': '这酒店真心不错。前台服务态度好。房间大，厕所超级大。早饭还好。以后还会叫朋友来玩时，选择这个酒店入住', '短评打分': 5}
{'短评内容': '稍微偏了点。交通不方便', '短评打分': 4}
{'短评内容': '有点远，交通不方便，周边还在基建。。各方面都还有很大的提升空间。', '短评打分': 5}
