{'短评内容': '酒店十分好、地理位置好、房间干净舒适', '短评打分': 3}
{'短评内容': '酒店十分好、地理位置好、房间干净舒适', '短评打分': 3}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '房间很大，比较干净', '短评打分': 5}
{'短评内容': '虽然设备老化，但房间空间很大，各种电器配备，还是不错的选择，在古羊路吃完夜宵性价比算高的', '短评打分': 5}
{'短评内容': '酒店环境还行，服务也很到位，交通也方便，整体还不错！', '短评打分': 5}
{'短评内容': '很不错值得推荐！', '短评打分': 5}
{'短评内容': '吃早餐要走一个路口', '短评打分': 3}
{'短评内容': '很一般，很旧', '短评打分': 2}
{'短评内容': '酒店位置方便。价格比较实惠。早餐比较简单，但味道可以。房间大，干净。地铁口也近，高铁售票处也很近。出差来上海每次利用这家。以后还会来的。', '短评打分': 5}
{'短评内容': '其他都很好，就是最后一晚让我露宿街头啦！', '短评打分': 5}
{'短评内容': '一切都很OK!', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '第三次入住了、比较方便离十号线很近，靠近黄金城道附近日本人比较多，到晚上挺干净的，靠近古羊路小吃街步行10分钟，可以！', '短评打分': 4}
{'短评内容': '环境挺好，周围设施齐全。卫生好，服务好。', '短评打分': 5}
{'短评内容': '酒店设备陈旧床很硬电梯又慢，周边又吵，期待早日改善', '短评打分': 1}
{'短评内容': '套间面积不错，其它一般。', '短评打分': 3}
{'短评内容': '房间较大，比较舒适，清晨还能听到鸟叫，但早餐太简单，没有吃。', '短评打分': 5}
{'短评内容': '原来订好大床房，最后入住时双人床，酒店也没有具体解释为啥。', '短评打分': 1}
{'短评内容': '窗户关不上，空调象直升机，酒店象妇产医院', '短评打分': 1}
{'短评内容': '这家酒店算是闹中取静，不远的地方就是宋庆龄的陵园，所以周边环境比较安静，酒店房间很大，很干净，值得推荐，服务态度也很好！', '短评打分': 5}
{'短评内容': '非常一般', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '这价格装修也太简单了，空调又差，响个不停，开着根本就睡不着觉，电视又不在房间的。', '短评打分': 1}
{'短评内容': '这家酒店非常不错，值得推荐，安静空间大，很舒服！', '短评打分': 5}
{'短评内容': '酒店非常不错，在上海繁华地段居然空间还那么大，而且还很安静', '短评打分': 5}
{'短评内容': '.很好', '短评打分': 3}
{'短评内容': '，19日入住房间条件挺好，21日22日同样房费，条件却不同，卧室无电视，很不方便。', '短评打分': 3}
{'短评内容': '还不错，地方比较安静，离宋庆龄陵很近，没时间瞻仰伟人了，房间比较大，我住的是套间。', '短评打分': 5}
{'短评内容': '不错的公寓，稍老，但是贵在安静，附近有一条街上，吃饭的东西比较有味道。可惜的是日餐居多。', '短评打分': 5}
{'短评内容': '虽然位于市区，但是难得的亲近，环境很漂亮，服务也不错', '短评打分': 5}
{'短评内容': '环境非常好，地理位置靠近10号线，出行很方便，房间很大。', '短评打分': 5}
{'短评内容': '在网上查询好久，觉得坏境很不错。房间很宽敞。', '短评打分': 5}
{'短评内容': '价格一般,员工素质不行,就餐的地方到是太少!\n', '短评打分': 5}
{'短评内容': '与图片介绍严重出入，设施陈旧服务态度差，总之很失望', '短评打分': 1}
{'短评内容': '房间很大 环境好 只是电视不在卧室不太爽 卧室空调不热 其余都很好', '短评打分': 3}
{'短评内容': '总得来讲，还算不错，下次还会入住。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '价格实惠，环境幽静，交通也方便，以后还会住', '短评打分': 3}
{'短评内容': '在世博会期间还能以这样的价格订到这样的房间，实属不易，而且总体的环境和位置都不错，出行方便，闹中取静，很不错！', '短评打分': 5}
{'短评内容': '很不错的酒店，服务好，干净，出行方便。', '短评打分': 3}
{'短评内容': '酒店房间让人满意，环境干净，交通方便，下次还会入住。值得推荐！', '短评打分': 5}
{'短评内容': '不错的酒店，性价比高，房间大且宽敞，设施齐全。', '短评打分': 5}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '蚊子超级多蚊子超级多蚊子超级多蚊子超级多', '短评打分': 1}
{'短评内容': '很方便的酒店，性价比相当好，停车也方便。\r\n以后还会住。', '短评打分': 5}
{'短评内容': '打车和地铁都比较方便，房间也还干净。监控和保安工作做得不错，比较安全。 ', '短评打分': 3}
{'短评内容': '&lt; 上海红典花园会馆 &gt;环境不错，周围比较安静，交通便利。', '短评打分': 5}
