{'短评内容': '环境一般 有点旧', '短评打分': 3}
{'短评内容': '酒店环境挺好，安静，房间设施齐全，早餐一般，可以自己烧饭。酒店环境挺好，安静，房间设施齐全，早餐一般，可以自己烧饭。', '短评打分': 4}
{'短评内容': '酒店客房的硬件一般，还算凑乎。厨具的配置不多，要加也没有了。餐具也不多，要加也没有了。电磁炉是可以马上热，但从来没用过。', '短评打分': 3}
{'短评内容': '房间环境有待提升', '短评打分': 3}
{'短评内容': '环境不错方便', '短评打分': 4}
{'短评内容': '设施齐全 居住环境不错', '短评打分': 5}
{'短评内容': '环境好，相当干净', '短评打分': 5}
{'短评内容': '离学校很近，很安静。', '短评打分': 5}
{'短评内容': '上海这种公寓式酒店很多，性价比都不错！这家感觉很安静温蛮喜欢的！', '短评打分': 5}
{'短评内容': '还是很不错的', '短评打分': 4}
{'短评内容': '周边环境优美，有健身设施', '短评打分': 4}
{'短评内容': '去上海的第一选择', '短评打分': 5}
{'短评内容': '国际社区，环境非常好', '短评打分': 5}
{'短评内容': '和中欧商学院近，没地铁不方便', '短评打分': 5}
{'短评内容': '吵了点，其他还好', '短评打分': 5}
{'短评内容': '离公司近，附近的协议酒店（华美达）已经没房了，只好将就这里了。早餐很一般，和附近的其它酒店相比，完全不是一个档次，但房价没低多少，性价比不高。', '短评打分': 3}
