{'短评内容': '好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '网上交完钱去店里没房，那你网上为什么要登呢？我中午大包小包去店才告诉我没房还让我加钱 我下午都没敢上会    态度十分差  不是什么好地  都能告他诈骗罪了', '短评打分': 1}
{'短评内容': '非常一般！这个钱真不如住连锁酒店！', '短评打分': 2}
{'短评内容': '这个价格，这个环境，可以了。', '短评打分': 5}
{'短评内容': '不错挺好老板态度也好', '短评打分': 4}
{'短评内容': '不错不错挺好的不错', '短评打分': 5}
{'短评内容': '好的不得了，出来游玩就是他了', '短评打分': 5}
{'短评内容': '酒店在新建的一栋大厦里，挺干净的。走的时候把剃须刀拉下了，给酒店打电话给寄回来的。不错。', '短评打分': 5}
{'短评内容': '价格很便宜，交通方便，距离附属医院很近，去山庄，大佛寺，小布达拉宫都有直达公交车，暗窗的房间就是窗子在走廊，但是有排风扇和中央空调，还不算闷，因为这个价钱嘛，公共卫生间可以洗澡，就是天花板太亮了，可以反射到外边……', '短评打分': 5}
{'短评内容': '酒店交通很方便，打车去丽正门最少一次只花了7块钱司机还倍儿热情！房间里也不错，应了一句话“麻雀虽小，五脏俱全”了。老板和伙计都挺热情的，老板的微笑很迷人！就是一点老板应该添个冰箱在前台，这样总能方便下大家的嘻嘻~~就是车下的免费停车场，有点属于先到先得型的。总之，这次网上预订还是很成功的！口耶~~', '短评打分': 5}
{'短评内容': '酒店附近吃早餐很方便，卫生条件很不错。可以观景，服务员态度很好，提前打电话通知我们，问我们几点到。很关心哦', '短评打分': 5}
{'短评内容': '基础设施不够完善，基本功能不全，暗窗挺奇怪的，很一般般吧。', '短评打分': 1}
{'短评内容': '还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧', '短评打分': 5}
{'短评内容': '预订好的酒店，入住时说没有房间，临时调换其他的，不知道预订还有什么用。条件一般，毕竟是私人开的小旅馆。', '短评打分': 1}
{'短评内容': '成功入住承德康乾快捷酒店老板娘人很好怀孕了还很热情很负责房间新开屋子很干净电视空调都是新的真的很不错欢迎大家预订入住只有自己体会才能知道是否真假谢谢老板娘', '短评打分': 3}
{'短评内容': '酒店小!房间也小!设施很差!入住时随意调整房型!感觉上当以后不会去!建议朋友不要去!', '短评打分': 3}
{'短评内容': '写这个点评的时候还没入住呢，但是通过电话沟通感觉就十分舒服，前台服务员非常耐心的给出答案或建议，并能提醒我们需要注意的事情，有了一个很好的开始，我的点评还会继续，请关注！！！', '短评打分': 5}
{'短评内容': '这个酒店，麻雀虽小五脏俱全，老板人挺好，帮忙下来找车位，屋子收拾得也挺干净。最便宜的特价房是没有单独洗手间的，是公用的，到了那里，最便宜的房没了，加了钱升为普通间，有独立洗手间，网络电视也都有，而且在承德市中心，离避暑山庄等都不远，很方便', '短评打分': 5}
{'短评内容': '房间很干净，服务态度很好，就是有点不太好找！', '短评打分': 3}
