{'短评内容': '共订了三间客房，两大床房，一标准间，价格实惠，性价比不错。同事也是比较满意，无论是睡眠质量还是早餐口味，所以必须要好评。', '短评打分': 5}
{'短评内容': '三星级酒店，在余姚这么多酒店中性价比不错了。客房整洁，床垫软硬适中，空调安静，睡觉很是舒服。早餐也不错，总体满意，下次还会入住。', '短评打分': 5}
{'短评内容': '性价比很高 就是有点老旧', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行，隔音效果不好', '短评打分': 5}
{'短评内容': '一般般吧！不过住店的时候碰上他们十周年搞活动了', '短评打分': 4}
{'短评内容': '酒店住习惯了', '短评打分': 5}
{'短评内容': '酒店正值二十周年店庆，此次入住还拿到了酒店的专属红包，虽然只有八块钱，但也是酒店的一份心意。经常出差选择的酒店，周围有大型的华润万家超市，吃饭购物都很方便。', '短评打分': 4}
{'短评内容': '环境，服务都不错。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '高铁近，内部装修还行', '短评打分': 4}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
