{'短评内容': '很棒，环境好，服务好，免费停车位', '短评打分': 5}
{'短评内容': '房间超棒，采光非常好，早餐厅也超级丰富，已经是住了好几次了，前台服务也超棒！总之很赞，推荐大家区', '短评打分': 5}
{'短评内容': '嗯嗯', '短评打分': 4}
{'短评内容': '超级满意，超级棒，房型很大，房间配了精美的水果，早餐非常丰富。', '短评打分': 5}
{'短评内容': '一般般，对不起价格', '短评打分': 3}
{'短评内容': 'good ', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '房间大', '短评打分': 4}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '很安静，很好', '短评打分': 5}
{'短评内容': '适合商务出差', '短评打分': 4}
{'短评内容': '其他还好，就是wifi信号太差，网速太慢了！', '短评打分': 5}
{'短评内容': '酒店环境不错，各项服务态度不错，设备设施齐全。', '短评打分': 5}
{'短评内容': '酒店环境不错，各项服务态度不错，设备设施齐全。', '短评打分': 5}
{'短评内容': '般般', '短评打分': 3}
{'短评内容': '从硬件设施来说应该是延安排名前列的酒店，可是服务真不敢恭维，无论是前台入住、结帐，还是早餐都不能令人满意。', '短评打分': 5}
{'短评内容': '总体不错，不过房间靠马路，正好在办丧事有点吵，隔音不是很好，空调不给开的，厕所有股味道，没打扫干净，楼下酒楼的饭菜还不错，出来吃饭还蛮方便的，前面拐弯就是肥羊火锅很好吃', '短评打分': 5}
{'短评内容': '老区人民把钱看得太重了，早已预定好的豪华大床房和商务大床房，被前台人员转让给别人，等我们入住时只留了两个标间，再临时换酒店根本不可能订到房。这种不讲商业道德，更不讲职业道德的行为应该令人唾弃！以后有朋友去延安希望不要碰到我的这种遭遇。', '短评打分': 1}
{'短评内容': '自来水里全是沙子，屋子里一进去全是发霉的味道 ，早餐一点都不好吃，花样也特别少。', '短评打分': 1}
{'短评内容': '洗澡水里全是沙子，早餐一点都不好，屋子里一股发霉的味道。', '短评打分': 1}
{'短评内容': '酒店属于当地一家较豪华较新的酒店，地处新开发区，卫生、服务都能满足要求，但感觉有点贵。不过延安物价普遍都高，比西安高很多，如果是一家人去旅游，还是会选价位低一点的酒店入住，旺季酒店人满为患，这家酒店就入选了。', '短评打分': 5}
{'短评内容': '冒牌五星，大概准四标准，性价比不高，有种上当受骗的感觉。', '短评打分': 1}
{'短评内容': '应该说该酒店的软硬件配套比较完善，能与大城市同级别的酒店一比高低。', '短评打分': 5}
{'短评内容': '床上用品很舒服，卫生间的地板有待改进。早餐显得单调了些。总的来说还是不错的。', '短评打分': 5}
{'短评内容': '交通方便 设施完善 餐饮不错 整体印象很好', '短评打分': 5}
{'短评内容': '整体印象不错 设施很好 交通方便 服务周到 ', '短评打分': 5}
{'短评内容': '延安丽森酒店对于延安而言 这还是一家不错的酒店 设施位置服务都还是很好的 唯一的不足就是健身房还要收费\r\n', '短评打分': 3}
{'短评内容': '对于延安而言 这还是一家不错的酒店 设施位置服务都还是很好的 唯一的不足就是健身房还要收费', '短评打分': 3}
{'短评内容': '对于延安而言 这还是一家不错的酒店 设施位置服务都还是很好的', '短评打分': 5}
{'短评内容': '每次出差都是去这家酒店,性价比不错,服务,环境不错! ', '短评打分': 3}
{'短评内容': '还算可以,交通比较方便,地理位置很好!性价比说的过去', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈和哈哈哈哈哈哈和哈哈哈哈哈哈和哈哈哈哈哈哈和哈哈哈哈哈哈和哈哈哈', '短评打分': 3}
{'短评内容': '哈哈哈哈哈哈和哈哈哈哈哈哈和哈哈哈哈哈哈和哈哈哈哈哈哈和哈哈哈哈哈哈和', '短评打分': 3}
{'短评内容': '好好 好好好好好好好好好好好好 好好好好好 好好好好', '短评打分': 5}
{'短评内容': '在延安有这样的酒店已属难得，大堂在3楼。附近餐厅多。', '短评打分': 5}
{'短评内容': '酒店装修豪华，设施齐全，房间很温馨，舒适，下次还来', '短评打分': 5}
{'短评内容': '这家酒店的环境硬件设施都很好，价格合理适中，出行交通也很方便，在延安算是比较不错的酒店了，但是卫生间还是有味道，卫生还是很干净的，可能是地漏的问题，其它都还好，可以推荐入住。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都算是比较达标，价格合理适中，卫生服务都还好。城市相对也比较小，出行也是比较方便的，可以推荐入住。', '短评打分': 5}
{'短评内容': '卫生间有臭味,床和早餐还行.', '短评打分': 1}
{'短评内容': '好满意', '短评打分': 5}
{'短评内容': '服务还是挺周到的,周围的环境也不错,我住的房间我还是挺满意的里面很干净舒适度也非常好,位置也挺好找的交通挺方便的.性价比还是挺高的酒店.', '短评打分': 3}
{'短评内容': '感觉很满意，服务、设施都相当的不错，早餐的选择也很多。\r\n值得下次再来酒店入住，性价比可以接受。\r\n值得给大家推荐的酒店', '短评打分': 5}
