{'短评内容': '早餐还可以，环境一般', '短评打分': 4}
{'短评内容': '不错，可以的', '短评打分': 4}
{'短评内容': '设备太旧！', '短评打分': 2}
{'短评内容': '早餐又干净又丰富', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '还可以床不大好卫生也不是太干净床下竟然有避用套的袋子', '短评打分': 3}
{'短评内容': '要倒闭还不倒闭的破败之处 除早餐外一无是处 那叫一个破 不为出城高速方便绝对不能再住 晚上跟鬼宅一样……', '短评打分': 2}
{'短评内容': '#ud83d#udc4c', '短评打分': 5}
{'短评内容': '总体情况很好。', '短评打分': 5}
{'短评内容': '该关门了 站着好地方不好好经营 早餐还行', '短评打分': 2}
{'短评内容': '整体不错，就是电梯小点！', '短评打分': 5}
{'短评内容': '马马虎虎，这个价位这样也就可以了，不能强求。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店位置优越，交通便利，闹中取静，房间很干净，布置的也很温馨，相比同档次酒店，性价比较高。服务员很热情，下次还会入住。', '短评打分': 4}
{'短评内容': '酒店在四环边上 去欢乐谷要走20分钟 欢乐谷周围吃饭的地方比较多 地铁站也在欢乐谷那边 出行和吃饭不算方便 酒店带早餐 品种可以 喜欢小馄饨 也有吃饭的 主要是粤菜 房间还不错 总体不错 下次来欢乐谷还可以住这里', '短评打分': 4}
{'短评内容': '酒店在四环边上 去欢乐谷要走20分钟 欢乐谷周围吃饭的地方比较多 地铁站也在欢乐谷那边 出行和吃饭不算方便 酒店带早餐 品种可以 喜欢小馄饨 也有吃饭的 主要是粤菜 房间还不错 总体不错 下次来欢乐谷还可以住这里', '短评打分': 4}
{'短评内容': '距离欢乐谷不算远，就在欢乐谷的后身，酒店其实很一般，周围没有什么商业街得走出去，房间还算干净，就是卫生间太简陋了一些，洗澡的时候下水太慢了，不过如果出去其他地方的话，自驾出行到了方便，紧邻四环。', '短评打分': 5}
{'短评内容': '购物十分不便，出门就是四环路，前不着村后不着店。吃饭也是个大问题，院内有个海鲜酒楼，吃个晚饭也要几十元，太贵。服务态度还好吧。总之比较一般了。', '短评打分': 5}
{'短评内容': '非常一般的酒店  没有什么特色  装潢也一般 总体感觉就是一般', '短评打分': 1}
{'短评内容': '交通方便，东南四环四方桥东南角；院内环境较安静，便于休息；洗浴水温度很好，据说是温泉。', '短评打分': 5}
{'短评内容': '热水不错,但进去中央空调温度有点过高,不利环保.', '短评打分': 5}
{'短评内容': '房间设计的比较人性化，环境不错，很安静，住着很舒服', '短评打分': 5}
{'短评内容': '靠近欢乐谷，出游方便，走着就能过去了，另外洗澡水很好，哈哈', '短评打分': 5}
{'短评内容': '酒店服务蛮好的，很热情，房间布置的风格很喜欢，给人感觉很舒服，硬件设施也蛮齐全的，住宿环境不错', '短评打分': 5}
{'短评内容': 'okokokokokok', '短评打分': 3}
{'短评内容': '还好哦啊', '短评打分': 5}
{'短评内容': '位置还是很好找的，价格不错，酒店也还不错里面的环境是挺好的，感觉还不错。', '短评打分': 5}
{'短评内容': '还可以，就是有点旧', '短评打分': 3}
{'短评内容': '离欢乐谷比较近，很好', '短评打分': 5}
{'短评内容': '宾馆整体很安静，晚上能睡个安稳觉，能保证睡眠质量。', '短评打分': 5}
{'短评内容': '宾馆以实惠为主，价位合适，适合咱们工薪阶层，值得推荐。', '短评打分': 5}
{'短评内容': '房间里的设施比较精致，座椅啦床啦个人觉得有特色，设计的也人性化。', '短评打分': 5}
{'短评内容': '卫生间的门该换了，标准大床房太少，酒店内有一个公司，因此临近他的房间不推荐！其它都挺好，洗澡水很好，65度温泉！旁边的饭店不错，菜品很好吃，就是有点小贵！', '短评打分': 5}
{'短评内容': '酒店总体感觉不错，环境好，硬件设施不错；但是早餐花样过少，有应付之嫌；标间没有睡衣。描述是地热取水，但是没有浴缸；所以感觉实际异议不大。适合度假。', '短评打分': 5}
