{'短评内容': '别的不多少说了，都是气，京东酒店这个业务还有待提高', '短评打分': 5}
{'短评内容': '东西很好用，用过之后来评价', '短评打分': 5}
{'短评内容': '东西很好用，用过之后来评价', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '同上', '短评打分': 5}
{'短评内容': '房间不含早餐，自己吃就太贵了！', '短评打分': 5}
{'短评内容': '基本保持五星级酒店标准，特别表扬城市节奏西餐厅，一位厨师知道我们是来过纪念日的还特别准备了一份巧克力写字的小蛋糕，感动好感度一下子上来了下次还来这里', '短评打分': 4}
{'短评内容': '房间很大，很干净', '短评打分': 5}
{'短评内容': '给出差的同事定的，在公司边上方便', '短评打分': 5}
{'短评内容': '给人定的酒店', '短评打分': 5}
{'短评内容': '环境挺好 入住挺快 就是不知道为什么被子好潮湿的感觉', '短评打分': 5}
{'短评内容': '这间万豪不错的～装修新，view也好', '短评打分': 5}
{'短评内容': '位于徐汇滨江，一线江景', '短评打分': 5}
{'短评内容': '虹桥车站搭车至此81元～', '短评打分': 5}
{'短评内容': '非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好', '短评打分': 5}
{'短评内容': '一般五星', '短评打分': 5}
{'短评内容': '性价比高，地理位置安静，靠近江滨路，夜晚散步很惬意。服务意识还不错，前台的工作效率挺高，客房服务及时比较到位。房间设施整体不错，设计风格很万豪，细节处有瑕疵，比如玻璃书桌有明显的刮痕，房门后的地板与墙壁交界处有损坏。梳洗台稍微小了点。迷你吧台确实非常迷你。电视的清晰度非常不好，这是我最不满意的一点。不过总体来说性价比很高了。至于有些评论说服务不好的，也许客人自己本身要看看态度是否太差，尊重是相互的', '短评打分': 5}
{'短评内容': '房间够大，空调很冷应该是坏了，早餐一般，不值', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '充电器呢呢？鼠标垫呢呢呢？其他都ok', '短评打分': 5}
{'短评内容': '环境是不错，早餐也可以，就是没有无线有点伤脑筋，地段什么都好', '短评打分': 5}
{'短评内容': '房间很舒适 环境很好', '短评打分': 5}
{'短评内容': '去梅赛德斯奔驰文化中心看演唱会住在这边，酒店环境很好，在房间里可以看到世博园区～', '短评打分': 5}
{'短评内容': '一如既往的好??帮朋友预定最满意的回馈就是这家酒店', '短评打分': 5}
{'短评内容': '周边紧邻一个商场，餐厅众多，总体来讲，性价比超值，位置也还很好，去浦东还是很方便。', '短评打分': 5}
{'短评内容': '品牌酒店，服务、设施设备还是一流的，就是这次去有点纠结，房间电动窗帘坏了，晚上和朋友同住，洗澡不太方便，哈', '短评打分': 5}
{'短评内容': '酒店位置偏了点，但好在交通还是方便的，周边有超市和地铁', '短评打分': 5}
{'短评内容': '酒店很不错，但价格高了些，早晚很单调，希望下次去能有所改进', '短评打分': 5}
{'短评内容': '酒店是朋友公司推荐的，环境和设施都不错，就是位置偏点，但好在前台服务工作人员很热情', '短评打分': 5}
{'短评内容': '万豪服务不错的，酒店设施也齐全，接待客户很适合。', '短评打分': 5}
{'短评内容': '酒店豪华，房间气味清新，每处细节都流露出万豪应有的水准,酒店位置所处宁静，在繁嚣的市区中实在难得,赞!', '短评打分': 3}
{'短评内容': '地段好，服务一般，设备一流，环境很好，出行方便。', '短评打分': 1}
{'短评内容': '酒店是新开的，环境和设备都很好，但订房间，太不合理了。双床大床都只有一份早餐，太不合理了', '短评打分': 5}
{'短评内容': '设施新，环境好，房间舒服，尤其是浴室开放式设计很巧妙，服务态度好。但是交通不大便利，服务还不够人性化', '短评打分': 5}
{'短评内容': '这次有些不是很满意，虽然这已经是第5次入住了\n\n对金卡会员没什么应有的服务', '短评打分': 5}
{'短评内容': '五星级的设施服务自不用评说，平时去住问题不大，休假期间能否住得下真的很难说。', '短评打分': 5}
{'短评内容': '一如既往的支持这家酒店，这已经是第五次了', '短评打分': 5}
{'短评内容': '除了感觉大堂有点儿小之外，其余都很不错，早餐的话要是花钱去有点儿不值。。。房间的风景很好，俯瞰黄浦江~有机会的话会再入住~~', '短评打分': 5}
{'短评内容': '离公司近，虽然附近没有什么繁华的地方，不过酒店设施还是不错。', '短评打分': 5}
