{'短评内容': '挺干净的，', '短评打分': 5}
{'短评内容': '环境价位完全不符合', '短评打分': 1}
{'短评内容': '酒店环境一般，毛巾很旧', '短评打分': 3}
{'短评内容': '酒店位置挺好，离地铁站很近。', '短评打分': 5}
{'短评内容': '不行', '短评打分': 1}
{'短评内容': '环境不错，很干净，设计的也很温馨，位置，步行到音乐喷泉三四十分钟', '短评打分': 5}
{'短评内容': '比较满意', '短评打分': 3}
{'短评内容': '比较满意', '短评打分': 4}
{'短评内容': '酒店地理位置很好，去西湖很方便，吃饭也方便', '短评打分': 5}
{'短评内容': '环境和服务都一般，交通还算方便', '短评打分': 3}
{'短评内容': '房间环境不好，价格现场更便宜，郁闷', '短评打分': 4}
{'短评内容': '价格偏贵，165老板还问我们是怎么订到的，说要加钱，环境也很一般，空调遥控器是坏的', '短评打分': 3}
{'短评内容': '不要再来 后悔是一定哒', '短评打分': 2}
{'短评内容': '很明亮，很干净', '短评打分': 4}
{'短评内容': '房间有点小 周末价格有上涨 还好吧', '短评打分': 5}
{'短评内容': '酒店还是挺不错得，毕竟是这个价格，城站火车站打车过来就十来块钱，很近的，比较方便。设施还好，就是有点点小，本来是大床的，凌晨来的，木有了，只有换成标准房。反正只是睡觉嘛，个人觉得还是不错拉，嘿嘿', '短评打分': 5}
