{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '好差，还公共卫生间', '短评打分': 2}
{'短评内容': '还不错，就是到地铁站要走十几分钟。', '短评打分': 5}
{'短评内容': '干净、卫生，设备还算不错，网速也值得推荐', '短评打分': 5}
{'短评内容': '在这个位置，这个价位还是挺不错的，卫生条件在可容忍范围内，在一个小区里面，相对比较安静，离地铁口要走一段路。 ', '短评打分': 5}
{'短评内容': '在这个位置，这个价位还是挺不错的，卫生条件在可容忍范围内，在一个小区里面，相对比较安静，离地铁口要走一段路。', '短评打分': 5}
{'短评内容': '同比周围的价格比较便宜，性价比高。离鸟巢比较近。', '短评打分': 5}
{'短评内容': '四环内这个价格，服务和硬件设施可想而知就不要期望太高了。我入住的房间属于空调漏水需要拿桶接，电视遥控器音量键相反，楼道尽头是公共洗漱间，夜晚总有人稀里哗啦叮叮咣咣洗漱。', '短评打分': 1}
{'短评内容': '酒店价格便宜，其他的实在没什么好说的~价格便宜确实是大特色，便宜...', '短评打分': 5}
{'短评内容': '离地铁和公交不算近  条件真一般     不过宾馆旁边有几个超市  还有吃东西的地方  倒是便宜', '短评打分': 1}
{'短评内容': '离5号10号地铁站都近，在小区里面挺安静的', '短评打分': 5}
{'短评内容': '离鸟巢水立方很近，房屋虽小，但是价格相比周围其他酒店便宜，总体来说还可以。', '短评打分': 5}
{'短评内容': '挺安静的，环境也好，不错！！！最主要的是可以停车！！！', '短评打分': 5}
{'短评内容': '还行吧，就是不怎么好找，吃饭游玩挺方便的', '短评打分': 5}
{'短评内容': '在一个小区里面，有停车位，还有吃饭的地方，离鸟巢水立方挺近的', '短评打分': 5}
{'短评内容': '房间还可以，就是停车的地方有点儿郁闷！', '短评打分': 3}
{'短评内容': '位置挺好的，交通方便，离鸟巢水立方又近，价格也挺便宜', '短评打分': 5}
{'短评内容': '感觉挺好，在一个小区里面，很安静，离公交站和地铁挺近的', '短评打分': 5}
{'短评内容': '服务不错，环境也挺好的，离鸟巢水立方很近，就是不怎么好找^^', '短评打分': 5}
{'短评内容': '房间还行，交通挺方便，就是不好找，以后还会来的^^', '短评打分': 5}
{'短评内容': '房间挺好，设施也很齐全，交通也很方便，以后会经常来住的', '短评打分': 5}
{'短评内容': '房间挺干净的，价格也很实惠，继续努力！！！', '短评打分': 5}
{'短评内容': '因为超时到店，去的时候已经没房了，但前台服务员还是很热情的帮我联系其他的分店，而且分店的环境更好，还有电脑房', '短评打分': 5}
{'短评内容': '房间还行，服务热情周到，还有几家分店，都离国家会议中心挺近的，而且房间更好，下次还来住', '短评打分': 5}
{'短评内容': '性价比合适，环境一般，地理位置一般，就是为了办事近', '短评打分': 5}
{'短评内容': '房间挺好的，下次还来住，前台服务员很热情，老板人也挺好的，出行也挺方便，小区也很安静', '短评打分': 5}
{'短评内容': '上次住过后向朋友推荐了这家宾馆，朋友也说这家宾馆还不错，以前手机信号弱，但现在可以正常使用手机了，房间挺干净的，服务很热情，交通方便，附近商店挺多的，吃饭也方便，下次还去住', '短评打分': 5}
{'短评内容': '房间还行，我挺喜欢那个窗户的，又大，光线充足，附近环境挺好的，超市，餐馆，鸟巢水立方都有，很适合我们这些出来旅游的入住', '短评打分': 5}
{'短评内容': ' 酒店房间基本可以，服务很好，位置不错，就是不太好找。', '短评打分': 3}
{'短评内容': '酒店属于私营式酒店，设施一般，最主要是到店后欺客，以次充好。与网络上的照片不相符。', '短评打分': 1}
{'短评内容': '＋还不错，就是不大好找！', '短评打分': 3}
{'短评内容': '位置不错，走路去鸟巢，水立方也就十多分钟，对面就是奥林匹克中心，坐地铁也方便。，5号线10号线下车后走着不远也就到了，值得推荐，尤其是想去鸟巢玩的，这价宾馆距离是最近的。\n\n客房也很干净，服务态度不错。', '短评打分': 5}
{'短评内容': '非常一般！暖气都是坏的！', '短评打分': 3}
{'短评内容': '环境太差，卫生条件也不好，要不是十一饭店不好定，一定不会定在轩平。', '短评打分': 1}
{'短评内容': '房间太破，打扫卫生也不勤快，还没有独立浴室，只能是招待所', '短评打分': 1}
{'短评内容': '帮家人定的，家人说挺好的，离鸟巢也很近，挺方便的', '短评打分': 5}
{'短评内容': '.宾馆太陈旧……门还是老式的，态度不错，但只住一晚……', '短评打分': 3}
{'短评内容': '空间虽小却很温馨、干净。价格实惠', '短评打分': 3}
{'短评内容': '  酒店很舒适，环境不错，很干净 服务很到位， 酒店员工的素质挺高，无论是前台接待还是客房服务都礼貌且热情。\n\n', '短评打分': 5}
{'短评内容': '   入住酒店给人一种温馨回家的感觉，服务态度特别好，距离奥林匹克公园鸟巢水立方非常近，吃饭等也非常方便，房间干净整洁，价格合理', '短评打分': 5}
{'短评内容': '  环境好，服务好，交通便利，房间设施很齐全，也很干净。下次旅游的首选，值得推荐......', '短评打分': 5}
{'短评内容': '位置很好但是隔音不是很好', '短评打分': 3}
{'短评内容': '标准间B感觉有味道，卫生一般。总台就一个人，感觉业务挺繁忙\n', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 3}
