{'短评内容': '停车位充足！服务态度好！房间宽敞干净整洁', '短评打分': 5}
{'短评内容': '主要是地理位置比较好！', '短评打分': 5}
{'短评内容': '可以加床、家庭房适合带孩子', '短评打分': 5}
{'短评内容': '有早餐、有免费停车场、出行便利、价格实惠！', '短评打分': 5}
{'短评内容': '设施老旧', '短评打分': 4}
{'短评内容': '仅仅是便宜，其他只能说很一般', '短评打分': 5}
{'短评内容': '就是卫生间优点脏', '短评打分': 5}
{'短评内容': '房间里比较干净 周围也很安静，酒店人员服务态度很好，但是感觉设备稍微有点儿老，早餐也不是很丰富。总体不错。', '短评打分': 5}
{'短评内容': '酒店不错，交通便利！', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '很不错哦，方便', '短评打分': 4}
{'短评内容': '周边环境有点差劲了，，吃个饭跑断腿', '短评打分': 3}
{'短评内容': '快捷酒店，住的套房也还是很一般，卫生间有味道，房间设备老旧，总体一般吧', '短评打分': 3}
{'短评内容': '环境一般，灯太暗。', '短评打分': 3}
{'短评内容': '房间大小还行，就是枕头就一个', '短评打分': 3}
{'短评内容': '楼上就是KTV，惊天动地！', '短评打分': 4}
