{'短评内容': '价格一般，装修有点老，房间不是很干净，不好停车，在没有产权的住宅改出来的鸽子笼，不是国庆高峰期到的太晚不会考虑。', '短评打分': 3}
{'短评内容': '酒店的地理位置很好，就是靠着马路会有点吵。房间是住宅改为公寓，所以相对会小一点。希望以后酒店的床单和毛巾可以更换频繁点，现在的已经发黄啦。', '短评打分': 4}
{'短评内容': '还行啦，老板他们人很好', '短评打分': 4}
{'短评内容': '不错还是', '短评打分': 4}
{'短评内容': '普通的火车站前小旅馆，老板很热心，赞一个！', '短评打分': 4}
{'短评内容': '棒棒哒', '短评打分': 5}
{'短评内容': '被子质量不怎么好  还是不干净  过敏了。', '短评打分': 5}
{'短评内容': '床单被套都是白色的，不知道怎么的，我朋友腿上过敏了  。', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '环境还是很干净的，离火车站和汽车站都很近，老板也很热情', '短评打分': 5}
{'短评内容': '挺干净的，老板娘服务态度好', '短评打分': 5}
{'短评内容': '老板娘提供了一张景点出游的资料还可以，卫生还可以吧，这价位差不多，就是早上很早就很吵，环境一般，住了两天以为第二天会打扫下卫生换一下垃圾袋什么的结果没有，第一次住家庭式的旅馆不太了解，如果有应该会更好些', '短评打分': 3}
{'短评内容': '老板娘非常亲切，态度超级好，在火车站去汽车站的路上 交通很方便，美中不足就是那个卫生间 不太满意 不过这个价格 就是这种水平 也划得来了', '短评打分': 5}
{'短评内容': '旅店环境比较干净，房间虽然不大但是价格也比较便宜，性价比较高.旅店老板娘态度非常好，很热情，也会介绍旅游路线', '短评打分': 4}
