{'descr': '交通便利，房间整洁舒适，隔音也很好，下次还会选择这里。', 'star': 5}
{'descr': '在梅塞德斯看演出的话住这里还是蛮好的，又方便又便宜~周围也有吃的东西，打的到梅赛德斯就起步费~很实惠~', 'star': 5}
{'descr': '非常好的酒店，设备齐全，外出也很方便，绝对推荐！', 'star': 5}
{'descr': '还可以，交通方便..........服务再体贴点就更加好了！', 'star': 5}
{'descr': '性价比高！地理位置合适！性价比高！地理位置合适！', 'star': 5}
{'descr': '环境比较旧。隔音很不好！', 'star': 3}
{'descr': '除了房顶上的招牌，浦东南路上没有标识，除了房间小了一点，其他都不错。', 'star': 5}
{'descr': '价格算低的，酒店从外形看还可以。但是里面的房间就很一般了，面积很小，虽然没有窗，但是其它方面和价格189的标准房是一样的。而且续住也是100元，没有加价，这点非常好。适合到上海去玩，整天不在酒店，只是晚上睡一下的朋友！\n离世博园区很近，走路5分钟就可以看到中国馆，但是只是看到，真要走进中国馆，还是挺远的。\n离地铁口有二站路，打的14块，步行15分钟。不远不近有点烦，下次去上海一定要找一家地铁口的。', 'star': 5}
{'descr': '价格算低的，酒店从外形看还可以。但是里面的房间就很一般了，面积很小，而且墙面发霉，看着很不爽。电视机也是花的，被磁化了，对不起标准房189的价格。\n离世博园区很近，走路5分钟就可以看到中国馆，但是只是看到，真要走进中国馆，还是挺远的。\n离地铁口有二站路，打的14块，步行15分钟。不远不近有点烦，下次去上海一定要找一家地铁口的。', 'star': 1}
{'descr': '比想象的好，房间比较大，设施也不错。稍微有点潮湿，用空调解决。\n隔音不太好。房间没有无线。', 'star': 5}
{'descr': '很喜欢，很安静，睡的很好！就是有点漏水！没有停车位不是很方便啊！', 'star': 5}
{'descr': '环境不错！服务态度很好！值得去', 'star': 3}
{'descr': '定的特价大床房 屋子很小没有窗但是床挺大 交通算方便', 'star': 5}
{'descr': '环境不错、满高档、就是有些小味道、不过物超所值了、', 'star': 5}
{'descr': '房间没有窗户，除了有点闷之外，其它都挺好！', 'star': 3}
{'descr': '还不错，就是偏僻了一点', 'star': 3}
{'descr': '酒店环境一般，不过挺实惠的', 'star': 3}
{'descr': '交通便利，比较安静，价格适中。其他没感受到', 'star': 5}
{'descr': '格林豪泰的环境感觉还不错，服务很到位，早餐15元每位也算中规中矩，不错，便宜而且舒服。下次还选择这里。', 'star': 5}
