{'短评内容': '挺不错的，美美的', '短评打分': 5}
{'短评内容': '酒店很垃圾，前台服务非常差。空调没有用，房间冷的不行，冻的感冒。然后申请调房，前台开始说没有房间了，后来我说为什么网上还能订到房，后来又改口说房间都这样。意思是否可以理解为想住就住，不住就走啊。找大堂经理，屁事不管。后来我要求退房，不住。惊动了客房经理，带着我看了4间空房，调了一个空调好用的房间。唉，总之，在这住简直是一种折磨。', '短评打分': 1}
{'短评内容': '酒店整体较旧，就是交通比较方便。上午经常没有热水，房间隔音不好，一般、一般、一般！！！！', '短评打分': 1}
{'短评内容': '交通很方便，其他的吗，一般啦！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '太老了 太老了 不干净的样子 很老 性格比差', '短评打分': 5}
{'短评内容': '位置可以,价格有点高,临近火车站,紧邻汽车站,房间有味道', '短评打分': 5}
{'短评内容': '.环境不好，有骚拢电话', '短评打分': 3}
{'短评内容': '也就是二星的条件，服务也很差，晚上的KTV音乐吵的你很难入睡，下次不会再住', '短评打分': 3}
{'短评内容': '离火车站很近，汽车站就在酒店下面，很方便，总的来说还不错。', '短评打分': 5}
{'短评内容': '还不错。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店还不错，服务很热情', '短评打分': 3}
{'短评内容': '该酒店最多二星半，很不好，服务人员的态度也不好，房间内用非一次性桶装的矿泉水竟然是收费的，用很小的标签贴着价格！再也不会去这家酒店了！！！！', '短评打分': 1}
{'短评内容': '酒店很好，各种设施完善，交通方便，缺点是房间打折后无早餐。附近也没有合适的饭店。', '短评打分': 5}
{'短评内容': '地理位置好，靠近火车站和汽车站，价格实惠，房间一般，空间小，光线暗，设施也一般，综合考虑还行，阳泉条件好的宾馆不多，大家将就一下吧。', '短评打分': 1}
{'短评内容': '挺不错的酒店，比北冰洋要好，价格还要低，所以以后不去北冰洋了。', '短评打分': 5}
{'短评内容': '价格适宜，值得一住', '短评打分': 3}
{'短评内容': '床上设施还可以, 衣柜内环境差,洗澡间内设施太旧,房间内缺吹风机,和电子秤.星级标准我认为为三级', '短评打分': 3}
{'短评内容': '比较满意', '短评打分': 3}
{'短评内容': 'POS机刷不了信用卡，很郁闷，希望是暂时的。', '短评打分': 5}
{'短评内容': '地理位置好，离火车站近。卫生条件一般。不管早餐，性价比不高。', '短评打分': 5}
{'短评内容': '感觉还好啊，就在汽车站这里，怎一个方便了得.', '短评打分': 5}
{'短评内容': '将就住吧，总体还可以，就是早餐不怎么样！', '短评打分': 5}
{'短评内容': '套间房间很大，足足有40多平方米吧，住起来挺舒服的，设施是有些陈旧，不过有90年代的风格。坐长途汽车很方便，车站就在楼底下。', '短评打分': 5}
{'短评内容': '房间设施不是很完备，长头无插座，台灯也不会亮，网速也不是很好，房间装饰也不是很新，这个价钱还不含早餐，有点不值，个人意见，仅供参考', '短评打分': 1}
{'短评内容': '订酒店时说是四星级，实际勉强三星吧，酒店服务配套也不行（如：酒吧、订票等）。', '短评打分': 1}
{'短评内容': '酒店的设施可以，位置很方便，凌晨到的，感觉还可以。。。。', '短评打分': 5}
{'短评内容': '凑合！凑合！凑合！凑合！凑合！凑合！凑合！凑合！凑合！凑合！凑合！凑合！凑合！凑合！凑合！', '短评打分': 5}
{'短评内容': '客服很有耐心，酒店的格局还好。餐厅中很多山西的小吃很不错，结合了山西的特产和本地的风俗。值得一试', '短评打分': 5}
{'短评内容': '凑合住！凑合住！凑合住！凑合住！凑合住！', '短评打分': 5}
{'短评内容': '很方便，就在汽车站上盖，房间卫生还可以，上网速度够快；没有茶叶，水烧开后在杯子上有一层不知何物，早餐一般。', '短评打分': 5}
