{'短评内容': '房间小不能加床', '短评打分': 4}
{'短评内容': '酒店位置非常好，最最不满意的就是无线网几乎收不到信号，上个网还得到大厅去蹭网，太不方便了！！！其他没的说！', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '酒店的装潢有点老了，不过这个地段，这个价格也算是对得起了', '短评打分': 4}
{'短评内容': '位置优越，卫生相当好，交通便利出门就是公交车站，出去右转地铁一号线，附近吃饭的地方相当多，魏家凉皮，泡馍，什么都有。', '短评打分': 5}
{'短评内容': '环境换可以', '短评打分': 5}
{'短评内容': '还可以不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间很干净，对面地下可以免费停车，吃饭也很方便，比较满意！', '短评打分': 5}
{'短评内容': '比想象中好多了，房间也够大，值得推荐', '短评打分': 4}
{'短评内容': '朋友一行三人住的三人间，环境还行，就是地毯不太干净，如果能换成木地板，基本就算完美了～服务一般，设施还不错。', '短评打分': 3}
{'短评内容': '三人间而言空间足够大，这个价位这个旺季也就不错了。只是卫生间的下水道声音很响，吵不说', '短评打分': 3}
{'短评内容': '环境很好，房间很干净，还会再次选择', '短评打分': 3}
{'短评内容': '酒店真心感觉不错，和图片描述相同，房间够大，明亮，在十一期间对得起这个价格！赞！', '短评打分': 3}
{'短评内容': '每次来西安都住在这家店，卫生令人满意，服务也还好', '短评打分': 5}
