{'短评内容': '高健陈美辰', '短评打分': 5}
{'短评内容': '前台高健非常热情，服务到位', '短评打分': 5}
{'短评内容': '早餐只能说一般，其它硬件还不错，加点免费茶叶和咖啡吧', '短评打分': 5}
{'短评内容': '温泉特别的好，各方面都非常的干净，池子也非常的多，面积很大，晚上泡着温泉，感觉特别的惬意，非常适合情侣，还会再来。', '短评打分': 5}
{'短评内容': '天沐温泉相当好，一进入度假村各位工作人员都很热情，特别是办理入住手续的各位工作人员工作态度也很热情、细心，在天沐吃、喝、玩都很尽兴。', '短评打分': 5}
{'短评内容': '天沐温泉相当好，一进入各位工作人员都很热情，特别是办理入住的各位工作人员工作态度很热情，细心地为我们办理入住手续，在天沐吃、住、玩都非常尽兴。', '短评打分': 5}
{'短评内容': '天沐不错的地方，需要注意这个是送两人一次温泉不是两人两天两次温泉。', '短评打分': 5}
{'短评内容': '便宜了一百多，。', '短评打分': 5}
{'短评内容': '得提前一天预定，说明里也没写，所以麻烦了', '短评打分': 5}
{'短评内容': '有很多温泉池可以选择，服务态度也好，到处都有饮水机，喝水很方便，大枣茶很好喝，以后会经常来的，总体很满意。', '短评打分': 5}
{'短评内容': '挺好的房间不错，景色也挺好的，就是自助餐有待提高，单点的餐厅还不错，环境很好，而且到处都有饮水机，还有红枣茶特别好喝', '短评打分': 5}
{'短评内容': '环境不错，挺干净的，离海边也很近', '短评打分': 5}
{'短评内容': '很好的酒店！价格略贵！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '喜欢 哪个方面都非常棒', '短评打分': 5}
{'短评内容': '附近温泉酒店都住过 还是喜欢他家 以后来 还会入住', '短评打分': 5}
{'短评内容': '非常满意！', '短评打分': 5}
{'短评内容': '非常满意！', '短评打分': 5}
{'短评内容': '简直太满意了！房间宽敞、干净，设施好！下次还会入住！太棒了！', '短评打分': 5}
{'短评内容': '非常好的酒店，房间里的温泉池够大，很不错，下次还会入住的', '短评打分': 5}
{'短评内容': '＋房间设备相继坏掉，没几个好用的，小电视不好用，水池漏水，淋雨头不出水，房间脏，服务也越来越查，价格还越来越高，根本不值这个价。', '短评打分': 3}
{'短评内容': '酒店的卫生有问题，洗手间里面有头发，浴盆里面有没有放干净的水，真不知道此家酒店是如何管理的，还有餐厅的饭真的是很不好吃，不过早餐还算OK', '短评打分': 1}
{'短评内容': '    发表对<营口熊岳天沐温泉度假村>的评发表对<营口熊岳天沐温泉度假村>的评发表对<营口熊岳天沐温泉度假村>的评', '短评打分': 5}
{'短评内容': '帮朋友定的不错', '短评打分': 3}
{'短评内容': '屋子很大，环境不错', '短评打分': 3}
{'短评内容': '我觉得宾馆的环境很不错，食物也还可以，不像有些网上评价的很难吃，但是就是有点贵，一份扬州炒饭58好象是，基本上没有低于50元钱的饭菜。但味道还是不错的。在住宿和泡温泉期间，对一名叫做白鹤的女服务员，印象深刻，很热情，细心，还有其他顾客也对她印象深刻。整体来说，除了价格小贵，其他一切还可以。另外，想吃方便面都没地方买，客房还没有。', '短评打分': 5}
{'短评内容': '非常好的度假村，温泉的种类齐全。菜肴有待加强', '短评打分': 5}
{'短评内容': '房间还行 服务态度生硬 早饭较差 温泉需另外收费 且人多水脏', '短评打分': 1}
{'短评内容': '好！', '短评打分': 3}
{'短评内容': '房间很大，夏天的季节去的话，在户外的阳台晒太阳会很舒服，设施和配备的用品都很好', '短评打分': 5}
{'短评内容': '环境不错，档次也不错！住在酒店，晚上泡泡温泉，很惬意！', '短评打分': 5}
{'短评内容': '应该是比较好的温泉度假村，房价也很大，很干净，就是人太多，千万不要周末去', '短评打分': 5}
{'短评内容': '还行吧，就是有点贵。温泉还是很不错的。。。', '短评打分': 5}
{'短评内容': '酒店温泉确实不错，但是餐饮太次了。不但不好吃，而且太贵了，大家最好不要到哪去吃饭，可以到旁边的生态酒店去吃', '短评打分': 5}
{'短评内容': '环境一流就是细节有些亏欠例如人体称,吹风筒!还是值得入住的!', '短评打分': 3}
{'短评内容': '很好，就是越来越贵了', '短评打分': 3}
{'短评内容': '较贵 不过环境还不错 性价比一般吧 优惠力度再大些就好了', '短评打分': 5}
{'短评内容': '客房条件还算不错.周边环境也很好.客房提供拖鞋不好.地段不错出行方便.', '短评打分': 5}
{'短评内容': '这家酒店房间基本上还算是靠谱。我住的是可以泡温泉的房间8310，但是房间内泡池很脏，我是自己用毛巾擦了一遍，都是黄黑色。 还有就是阳台门没有锁，感觉不是很安全，其它还可以。', '短评打分': 5}
{'短评内容': '说实话,入住后比我想象的好!给个好评.', '短评打分': 3}
{'短评内容': '房间很不错，布置的古香古色的，床也很舒服~~', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '硬件和软件都不错，春节期间小贵阿', '短评打分': 3}
{'短评内容': '酒店的环境很好，非常适合度假\n\n唯一的遗憾就是早餐的样式少了点儿', '短评打分': 5}
{'短评内容': '价格很高贵的离谱，房间也是比较阴冷，设施方面还可以，位置的话还是挺好找的。', '短评打分': 3}
{'短评内容': '房间很大很舒服,设计格调也很好,早餐按五星级标准应再提高', '短评打分': 5}
{'短评内容': '条件还不错 服务一般', '短评打分': 3}
{'短评内容': ' 住宿条件没得说，就是价格太高了', '短评打分': 3}
{'短评内容': '1就连餐厅的厨子水平也很不错呢。', '短评打分': 3}
{'短评内容': '卫生条件不是很好,主要是小细节做得不太好,不过客房舒适度很不错.位置好方便出行自驾更方便.', '短评打分': 5}
{'短评内容': '环境不错，就是周末价格小贵了点，但是温泉的环境是超好', '短评打分': 5}
{'短评内容': '酒店很干净，就是性价比低了点，住酒店还不提供免费的温泉门票', '短评打分': 5}
{'短评内容': '感觉这里很不错', '短评打分': 3}
