{'短评内容': '温馨舒适，服务贴心！', '短评打分': 5}
{'短评内容': '酒店位置在小区里面，环境挺好 离301医院特别近走几分钟就到了，而且房间里面干净卫生，床挺大的 下次来北京还会来这里住', '短评打分': 5}
{'短评内容': '一般吧，房间的隔音不好，早上被闹醒了。', '短评打分': 4}
{'短评内容': '在小区里面，不太好找，没有停车位', '短评打分': 3}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '房间偏小些，其它各方面还是不错的，入住过几次了，服务不错。', '短评打分': 5}
{'短评内容': '服务一般，没办法才订这里的，离医院近', '短评打分': 2}
{'短评内容': '前台态度太差了', '短评打分': 2}
{'短评内容': '旅店还可以吧   就是有点远   不过有地铁  也不错了', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '房间特小的 平方没达标 看在超过一点点时间 没收钱 马马虎虎吧', '短评打分': 3}
{'短评内容': '挺好的，每次都住，小区环境安静，价格实惠', '短评打分': 5}
{'短评内容': '很好，离武警也挺近的', '短评打分': 5}
{'短评内容': '挺好的，适合出外短住，关键价格便宜', '短评打分': 5}
{'短评内容': '很不错，价格合理，出门在外，够便宜的', '短评打分': 5}
{'短评内容': '每次来人都定这里，很好哦', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 4}
{'短评内容': '不错。', '短评打分': 4}
{'短评内容': '性价比高。', '短评打分': 4}
{'短评内容': '非常好，值得推荐，还会再来，值得推荐', '短评打分': 5}
{'短评内容': '房间较小，在一个小区内，较安静', '短评打分': 3}
{'短评内容': '房间干净，设施很全。只是楼外可能是冬天烧锅炉，房间有噪音。', '短评打分': 4}
{'短评内容': '设施旧了些，位置较偏，节约出发的话差不多。', '短评打分': 4}
{'短评内容': '不错的，推荐给大家，而且不贵，不错，下次还来，哈哈', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
