{'短评内容': '京东订酒店速度很快，很好，很喜欢，不错，下次还要用京东定', '短评打分': 5}
{'短评内容': '免费升级到两房两厅两卫，房间干净，客厅很大，大落地窗，采光很好。晚上几个人在房间里打牌没有任何局处感。', '短评打分': 5}
{'短评内容': '每次都来住。尤其是是张紫君非常热心，每次都感到宾至如归。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '酒店前台服务很好，小武和小于服务很好，因为带了小孩还给升级了套房', '短评打分': 5}
{'短评内容': '很舒服', '短评打分': 5}
{'短评内容': '酒店服务很好', '短评打分': 5}
{'短评内容': '酒店免费升级套房  环境不错 地段很好 附近有很多小资店 ', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '哈哈哈哈哈还哈哈还差哈哈哈还', '短评打分': 5}
{'短评内容': '好.......）...........................................', '短评打分': 5}
{'短评内容': '超级满意的酒店。住的家庭房，前台给升级了，客厅超大，还带厨房，卧室落地窗看南京夜景很美！', '短评打分': 5}
{'短评内容': '环境优雅，设施完善很好，房间卫生干净整洁很好，服务可再优化，空间宽敞舒适，在这个附近比其他同类型酒店算比较好，我己经向其他朋友推荐，确实不错把服务加强应该会有很多回头客，以上真实情况。', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵或或或或花哈哈哈哈哈', '短评打分': 5}
{'短评内容': '特别感谢刘静经理！特别感谢这个酒店！喜欢这个酒店，喜欢这里的一切！', '短评打分': 5}
{'短评内容': '住的非常舒服，特别是王静经理，认真负责，喜欢这个酒店。', '短评打分': 5}
{'短评内容': '设施先进环境优美服务一流卫生温馨', '短评打分': 5}
{'短评内容': '房间一如往常的好', '短评打分': 4}
{'短评内容': '前台服务很好，房间很漂亮', '短评打分': 5}
{'短评内容': '酒店在市中心的位置，对面就是著名的先锋书店总店，不远处就有著名的小吃街，鸡鸣汤包和尹氏汤包就在那条街上～交通十分发达便利，酒店服务人员很热情！感觉是居家型的酒店，宾至如归！', '短评打分': 5}
{'短评内容': '等电梯超过10分钟，还没上去。', '短评打分': 2}
