{'短评内容': '很不错，这个价格能住这样的宾馆已经非常好了', '短评打分': 5}
{'短评内容': '酒店性价比还不错 ，卫生也算干净，只是前台接待服务态度还有待提高 。', '短评打分': 3}
{'短评内容': '迷你房的确很迷你，房间插座只有卫生间有一个，前台服务还不错', '短评打分': 4}
{'短评内容': '经济实惠，交通便利。不错！', '短评打分': 5}
{'短评内容': '隔音还不错', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '预订的商务标准间看我一个人来给了个单人间,房间小的可怜!电视不能看直播只能看电影，电脑很卡，早上7点就有服务员来敲门了，而且还是敲错门了!', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '设施一般吧。感觉清洁度也一般。没有吹风机。空调好像也是坏的', '短评打分': 3}
{'短评内容': '卫生环境好可以，作为一个老宾馆，有两个问题，一是房间有股霉味，二是空调噪音太大', '短评打分': 4}
{'短评内容': '我来都住这酒店的，办事方便，酒店的拖鞋很好！！！房间也挺大的，价格实惠。', '短评打分': 5}
{'短评内容': '差旅选择。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '地理位置很不错 酒店外观豪华 房间设施将就 这个价格可以接受 还算中规中矩', '短评打分': 4}
{'短评内容': '价格便宜 房间还可以 位于市中心 至于服务么商务酒店也没什么服务', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '感觉不怎么舒服！！！！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '房间不怎么样，家具很久，还有点味道，床很硬，地理位置还不错。', '短评打分': 1}
