{'descr': '还好就是房间有点小', 'star': 5}
{'descr': '垃圾地方！', 'star': 1}
{'descr': '房子偏小，隔音不好，主要满足医院家属的住宿，要是旅游出差，还是不建议。', 'star': 4}
{'descr': '空调有点响', 'star': 3}
{'descr': '确实如大家所说的：隔音效果不好。早餐要另加钱的。不如到楼下永和豆浆，老盛兴去吃。位置很好找，就在地铁站附近', 'star': 4}
{'descr': '代人预定！', 'star': 5}
{'descr': '帮大人预订的，反应还不错！出行方便！', 'star': 5}
{'descr': '帮大人预订的，反应还不错！出行方便！', 'star': 5}
{'descr': '价格还好吧，房间干净整洁', 'star': 5}
{'descr': '房间有点小，但是地段很好', 'star': 3}
{'descr': '房间干净，床睡着很舒服，蛮好的', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '商务酒店就那样', 'star': 4}
{'descr': '酒店位置不错，离开地铁站也就100米，附近饭店，快餐很多。酒店本身一般，房间不大，但还干净。但酒店电梯较小较慢，需要点耐心的。', 'star': 3}
{'descr': '住的很舒服', 'star': 5}
{'descr': '地铁口，方便出行，门口小吃多。', 'star': 4}
{'descr': '还不错，交通方便，性价比高', 'star': 5}
{'descr': '靠近地铁站，十院对面，外地来看病的家属很多选择这里，性价比高！吃饭购物都很方便。', 'star': 4}
{'descr': '酒店的卫生和内部环境都十分令人满意，唯一不足的就是酒店的隔音，对面是一家医院，一晚上都是救护车的声音。', 'star': 5}
{'descr': '该酒店周边交通方便，酒店设施齐全。下次我还会选者入住的。', 'star': 4}
{'descr': '整体感觉不错', 'star': 4}
{'descr': '朋友来上海十院体检，我特地为他们安排在此酒店。对面就是医院，去大宁国际玩又方便，酒店很干净，经济实惠。值得推荐。', 'star': 5}
{'descr': '还有人丛门缝塞卡片，房间隔音暴差 你很难相信大半夜的能听到隔壁 仁兄在床上跟他女朋友折腾的声音，', 'star': 5}
{'descr': '酒店在延长中路上，正对上海市第十人民医院，旁边就是1号线延长路站、公交车童家浜站点，如果是要入住医院或是探望亲属，倒是可以考虑的住宿地方。\n房间很小，因为是标间会显得更小，较价格而言，性价比不是很高。\n快捷酒店靠近街边，晚上车辆往返鸣笛噪音较大。', 'star': 1}
{'descr': '经济实惠，交通方便', 'star': 3}
{'descr': '隔音差，房间里面有股味道，将就一夜只能。', 'star': 1}
{'descr': '我经常出差，从没给酒店评价很差，但这酒店我不的不评，这么冷的天气，房间空间一点效果都没有，向前台要加一条被子说没有。同时服务也很差，打扫卫生的车挡在电梯不让客人进出，这我还是第一次碰到，关键是这酒店只有一个所谓观光电梯！不说了，再说我要崩溃了！', 'star': 1}
{'descr': '交通便利，但是卫生间的门坏了，介意格林还是要经常保持维修。总体还是不错的', 'star': 5}
{'descr': '酒店的位置很好，很便利。。周围吃饭很方便。。', 'star': 5}
{'descr': '还不错，挺干净。', 'star': 3}
{'descr': '性价比挺好的，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', 'star': 5}
{'descr': '交通非常方便，旁边就是地铁。吃饭购物也较为方便，特别是旁边吃早餐很实惠。但是临近马路的房间比较吵，考虑到这一点，房价偏贵，适合早出晚归的办公事儿的人员。', 'star': 5}
{'descr': '隔音太差，戈壁恋人太疯狂。其他还好', 'star': 3}
{'descr': '满意', 'star': 3}
{'descr': '交通很方便，虽然靠近地铁口但也不吵，还是很满意的', 'star': 5}
{'descr': '如果不是因为在十院对面，是不会入住这家酒店的，首先设施已经陈旧，价格也不低，虽然是在繁华地带，靠近大宁商业街。晚上出去活动还是热闹的。', 'star': 5}
{'descr': '没餐厅，房间小，床还很高，室内电话本应3角钱/分钟，打了一个电话（只说了一句话）还是被扣了5角钱，虽然钱不多，但是感觉很不好。也懒得和他们争执了。还有人丛门缝塞卡片，电梯的接触器声音巨响，很吓人的。除了离地铁近，没啥好处', 'star': 1}
{'descr': '除了离地铁站近外没什么可圈可点的，设施陈旧，被褥太厚太重，睡着不舒服', 'star': 1}
{'descr': '还不错，交通方便，环境也可。。离地铁1号线就5分钟路程。。', 'star': 5}
{'descr': '不错酒店环境也很好舒服地理位置也好。。。。。。。。', 'star': 5}
{'descr': '酒店还很干净，交通也便利，价格略微贵了点。', 'star': 5}
{'descr': '交通蛮便利的，就是房间有点小 不过上海也是没办法的 。。。基本上对得起这价了', 'star': 5}
{'descr': '环境卫生 但对面是个医院 不是很好。。。。。。。', 'star': 5}
{'descr': '挺干净 但对面是个医院 不是很好。。。。。。。。。', 'star': 5}
{'descr': '＋交通很方便，环境一般', 'star': 3}
{'descr': '卫生还不错', 'star': 3}
{'descr': '位置不错，房间也算可以，地下购物很方便，就是楼道里味道重', 'star': 5}
{'descr': '不错！位置好，地点也不错，服务也很好！停车收费', 'star': 5}
{'descr': '不错，小贵', 'star': 3}
{'descr': '酒店是靠马路的，晚上有点吵，交通到是很方便，总体评价还可以。', 'star': 5}
{'descr': '存在卫生间设施损坏,还 比较干净', 'star': 3}
{'descr': '交通很方便，虹桥机场坐地铁1小时也可以抵达了。', 'star': 5}
{'descr': '交通方便，第二档的房间还备有电脑。貌似第三档的房间隔音较差，过道走过，听到各种声音。', 'star': 5}
