{'短评内容': '早餐一般般', '短评打分': 5}
{'短评内容': '各方面还可以', '短评打分': 5}
{'短评内容': '酒店环境，位置都不错，性价比高', '短评打分': 5}
{'短评内容': '交通方便，房间干净整洁。前台服务员热情服务周到。', '短评打分': 5}
{'短评内容': '位置好交通便利', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '酒店还可以，非常棒。酒店还可以，非常棒。酒店还可以，非常棒。酒店还可以，非常棒。酒店还可以，非常棒。', '短评打分': 5}
{'短评内容': '酒店还可以，非常棒。酒店还可以，非常棒。酒店还可以，非常棒。酒店还可以，非常棒。酒店还可以，非常棒。', '短评打分': 5}
{'短评内容': '还行吧，就那样了！', '短评打分': 4}
{'短评内容': '我这次定的房间在辅楼，房间设施有些老旧，其他均不错，下次还是会入住的，建议冬天不要住，空调貌似不太给力。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '在南京城区的高档套房，宽敞、舒适，也算是物有所值了。', '短评打分': 5}
{'短评内容': '很有历史感。房间也很大。  非常好。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店??环境优雅，服务卫生均佳，值得继续关注，还会来(????????????????)哦', '短评打分': 5}
{'短评内容': '洗手间的坐便器有热水冲洗卫洗丽，非常好！ 酒店位于市中心，内环旁边，非常方便', '短评打分': 5}
{'短评内容': '酒店档次不值这个价钱，服务也很一般。下次不会选择这个酒店。', '短评打分': 4}
{'短评内容': '环境不错，服务不好，免费宽带不能用，两天没人维修。', '短评打分': 5}
{'短评内容': '入住房间小。', '短评打分': 3}
{'短评内容': '环境一般，设施旧了些，位置不错，性价比还行。', '短评打分': 5}
{'短评内容': '比较干净，价格还可以，晚上比较安静，但是在局部的细节上还要改进。', '短评打分': 5}
{'短评内容': '老牌子的酒店，感觉还不错！就是电视看的不舒服啊，建议装网络或数字电视~！', '短评打分': 5}
{'短评内容': '还行，就是房间设施有点旧，晚上休息挺安静不错，交通便利。', '短评打分': 5}
{'短评内容': '酒店环境优雅，无噪声，总体感觉不错，毕竟是老牌宾馆。但早餐48元与提供的食物不太符。结账时间是中午12点，要注意。再有一点停车要收费。', '短评打分': 5}
{'短评内容': '属于中规中距的政府部门会议接待宾馆，方便，常去。', '短评打分': 5}
{'短评内容': '服务员对人冷淡，没人帮助搬行李，房间小，设备过时。一幢大楼只有一个电梯。', '短评打分': 1}
{'短评内容': '  环境还行，设施一般！', '短评打分': 3}
{'短评内容': '新装修的，价格合适、什么都是新的，让人很舒服，不足是因新装修的，房间还有味道！', '短评打分': 5}
{'短评内容': '房间装修的味道太浓，无法忍受，对身体非常有害。', '短评打分': 1}
{'短评内容': '房间尚可。', '短评打分': 3}
{'短评内容': '这次住的是新楼，虽然矮了点，但是设施稍微新的，很好，很干净，性价比很高。交通也很方便，停车也不错，7元一夜，不管出门几次。', '短评打分': 5}
{'短评内容': '这次住的是新楼，虽然矮了点，但是设施稍微新的，很好，很干净，性价比很高', '短评打分': 5}
{'短评内容': '环境不错，下次还会选择入住', '短评打分': 3}
{'短评内容': '干净 卫生 服务好   酒店外卖盐水鸭味道好值得推荐', '短评打分': 5}
{'短评内容': '环境不错，比较安静', '短评打分': 3}
{'短评内容': '房间不错，蛮干净的，也没有感觉到有前面人评论说的设施陈旧，周围也很安静。', '短评打分': 3}
{'短评内容': '不错的,房间装修是新的,很干净,过堂和走道也富丽堂皇，就是没有早餐。', '短评打分': 5}
{'短评内容': '和同事去南京出差，入住这家酒店，环境还不错，很安静，内部设施也比较新，晚上也没有骚扰电话，下次去南京还住这一家。', '短评打分': 5}
{'短评内容': '特意要了新的悦景楼，环境比较清静，住了两晚，第二天竟然睡到9点才醒。总台服务很热情，总体满意。自驾的朋友注意，出门不能左转有点碍事。', '短评打分': 5}
{'短评内容': '还可以，房间挺新的，价格可以接受，就是附近没有地铁站。', '短评打分': 5}
{'短评内容': '酒店干净、方便。房价不含早餐，有点遗憾。', '短评打分': 5}
{'短评内容': '交通比较便利，临近大路。\n环境较好，房间也比较安静。\n', '短评打分': 5}
{'短评内容': '老装修，设施比较陈旧，但比较安静', '短评打分': 3}
{'短评内容': '  挺安静的呵。环境还可以。唯一的缺陷就是宾馆历史教久的缘故。设施装修等有些陈旧，别的还可以呵。', '短评打分': 3}
{'短评内容': '房价不含早餐，有点遗憾，其他方面都不错。', '短评打分': 5}
