{'短评内容': '还可以吧，假期去的。', '短评打分': 5}
{'短评内容': '很实惠', '短评打分': 5}
{'短评内容': '非常一般的老旧酒店', '短评打分': 1}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '十一出游，景区周边价格都涨的厉害，正好途经朝阳，网上看看这家店不错，就往这了，酒店性价比很高，据说是老三星的，就是停车只能停在旁边银行门口，周边有很多小吃店。', '短评打分': 5}
{'短评内容': '卫生很差，床头椅子都是脏兮兮的，浴室的浴缸泽是脏兮兮的，没有单独的淋浴区，房间隔音不好，总之，完全看不出是三星酒店。', '短评打分': 2}
{'短评内容': '酒店在辽阳算不错的，服务还可以的，不过因为建的比较早，设施稍旧，沙发布比较脏，双早就是粥和炒饭馒头还有一些菜，不过可以吃饱。', '短评打分': 5}
{'短评内容': '环境 还可以 高层看风景不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '不错不错不错不错不错不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '整体感受还可以。', '短评打分': 3}
{'短评内容': '不错，已经是第二次入住了，感觉这次入住比第一次的房间要好些......', '短评打分': 5}
{'短评内容': '还可以，有点旧的，服务态度可以。', '短评打分': 3}
{'短评内容': '酒店服务态度很好…', '短评打分': 3}
{'短评内容': '我在辽阳住过的最差的酒店…房间窗户打不开，上网与电视冲突，房间异味很重…脏…早餐还不错…', '短评打分': 3}
{'短评内容': '三星级酒店，不过有点旧了  要看电视就不能上网……很悲催……', '短评打分': 5}
{'短评内容': '大床房的床很软，很不错，睡得很好，感觉这家酒店最实惠最舒适。。。', '短评打分': 5}
{'短评内容': '酒店总体上还可以。交通便利，位于市中心区。隔音不太好......', '短评打分': 5}
{'短评内容': '交通方便，服务热情，推荐去辽阳旅游的朋友入住银梦，这是一家很不错的经济性酒店，尤其是早餐，很丰盛，品种挺多，不错。', '短评打分': 5}
{'短评内容': '连续入住银梦，感觉挺好，服务也挺不错的，尤其是早餐比较丰盛，是一家值得推荐的经济性酒店，我会向大家极力推荐的，不错。', '短评打分': 5}
{'短评内容': '辽宁一行感觉不错，跟入住银梦酒店有很大关系，性价比较高，如果有机会再去辽阳，肯定会继续入住银梦的，必须给个好评。', '短评打分': 5}
{'短评内容': '不错，地理位置挺好，交通也挺方便的，争取下次还来吧', '短评打分': 5}
{'短评内容': '给客人订的，反应不错', '短评打分': 3}
{'短评内容': '该酒店交通较方便，卫生不错，性价比较高。衣柜较破旧，不过对住宿无碍。', '短评打分': 5}
