{'短评内容': '房间太旧了，毛巾这都是破窟窿的，吹风机吹不出来热风，晚上还有好几波往你房间里塞小广告的', '短评打分': 3}
{'短评内容': '房间还不错，挺大的就是就是唯一不足的地方就是里面的矿泉水还要另外付钱，淋浴房没有可以拿的淋喷头，开热水也不稳定，时冷时色！希望改进，酒店位置不错一出门就有地铁，停车场在隔壁，要用停车票问酒店报销！', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '还行，服务不错', '短评打分': 3}
{'短评内容': '设施比较老，但交通挺方便的，停车有点困难', '短评打分': 4}
{'短评内容': '還行浴缸蠻大的 水溫也可以。交通方便 經濟實惠出差的可以考慮下哦。', '短评打分': 5}
{'短评内容': '。。。。。。', '短评打分': 1}
{'短评内容': '挺不错的。还有个大浴缸', '短评打分': 5}
{'短评内容': '浴缸很大、住得很舒服', '短评打分': 5}
{'短评内容': '很赞 本次是商务出行 酒店设施很好 下次还会入住 各种服务也很到位 不亏为汉爵的品牌 一家人入住也不错。', '短评打分': 5}
{'短评内容': '地址有点偏', '短评打分': 4}
{'短评内容': '浴室真的很棒', '短评打分': 4}
{'短评内容': '房间很大，性价比很高', '短评打分': 5}
{'短评内容': '好啊！好！', '短评打分': 5}
{'短评内容': '不错，交通也方便', '短评打分': 5}
{'短评内容': '性价比很高。 ', '短评打分': 5}
{'短评内容': '服务很好，地理位置也不错，去哪儿都很方便，环境不错，很干净，也很舒适', '短评打分': 5}
{'短评内容': '不错，酒店大厅比较老了，但没想到里面还是蛮好的', '短评打分': 5}
{'短评内容': '离苏大附儿院挺近，走路10分钟左右即到，早餐嘛只能将就', '短评打分': 5}
{'短评内容': '星耀住过两次，每次都是spa房，这次的房间比上次的更好，主要因为浴缸更大，泡起来很舒服。周边环境确实稍逊，建议坐地铁去广济南路或者去乐桥吃饭，大卖场那里也有，以后来苏州还是会选星耀的。', '短评打分': 4}
{'短评内容': '很干净，很温馨，如果赶上没有窗的房间，第二天有了空房还可以随意更换房间，服务非常人性化，真心不错！！', '短评打分': 5}
