{'短评内容': '如家很好，只是价格越来越不像快捷酒店了！', '短评打分': 5}
{'短评内容': '如家还是很标准的，服务杠杠滴！', '短评打分': 5}
{'短评内容': '马马虎虎，比较干净', '短评打分': 3}
{'短评内容': '房间挺干净环境一般般', '短评打分': 3}
{'短评内容': '离省体育馆比较近，看球首选。酒店外吃的也比较方便，房屋全都朝向马路，就是有点点吵，马路车流量不大，不过还是可以接受。', '短评打分': 4}
{'短评内容': '干净利落 房间大', '短评打分': 5}
{'短评内容': '将就', '短评打分': 5}
{'短评内容': '成都机场过去很进，挨着玉林路一条街全是好吃的，交通也很方便的，主要是为了钱吃串串住在那边的，如家装修都是一个样嘛', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '住了两晚，感觉还行，和其他如家的差不多，卫生每天打扫的还不错，住的楼层高，也不会吵，挺安静的，感觉可以', '短评打分': 4}
{'短评内容': '服务周到，卫生好。', '短评打分': 5}
{'短评内容': '位置环境都不错，性价比很高！！！！！', '短评打分': 5}
{'短评内容': '房间还可以，就是对于我这种对烟味敏感的人来说。房间烟味有点大。早餐15元。退房速度很快，，供大家参考', '短评打分': 4}
{'短评内容': '日期订错，携程不允许改签和退订，没入住，不知道好不好', '短评打分': 1}
{'短评内容': '周边小饭馆多，味道不错，方便', '短评打分': 4}
{'短评内容': '很好的酒店，吃饭也方便', '短评打分': 5}
{'短评内容': '干净舒适', '短评打分': 5}
{'短评内容': '房间大小还是挺合适，退房的速度很快。', '短评打分': 5}
