{'短评内容': '还是不错的样子', '短评打分': 4}
{'短评内容': '清净', '短评打分': 5}
{'短评内容': '酒店各项指标都差', '短评打分': 1}
{'短评内容': '感觉很一般的酒店', '短评打分': 4}
{'短评内容': '都还算不错的选择', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '酒店设施陈旧，服务差，卫生也很差，建议换个酒店', '短评打分': 4}
{'短评内容': '属于部队的招待所，比较安全，但服务有待提高，周边环境安静，但交通出行不方便，早餐一般，达不到星级酒店的标准，价格偏高', '短评打分': 3}
{'短评内容': '感觉还不错，嗯，就是还不错吧。', '短评打分': 5}
{'短评内容': '干净，舒适，安静，服务很好！不愧是老牌酒店', '短评打分': 5}
{'短评内容': '总体来看是不错的，在贵阳也是高品质的酒店了。房间卫生清洁差了点。好评。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店硬件还可以但服务不配套不够4星标准没有饭吃没有叫车服务基本上是招待所水平今后不会住也不会推荐朋友住价高质次！', '短评打分': 1}
{'短评内容': '酒店的综合条件还行，房间比较大，卫生、早餐也不错，但打不到出租车，酒店也没出租车公司叫车电话。', '短评打分': 5}
{'短评内容': '酒店硬件条件不错，房间较大，卫生也很好，但就是不好打出租车。', '短评打分': 5}
{'短评内容': '酒店环境挺好，房间空间挺大，服务员打扫也很干净、及时。早餐是自助。距机场打的25元左右。周围只看到4路和38路公交车，公交车少了些。', '短评打分': 3}
{'短评内容': '很不错，军区招待所，自然环境不差、服务也不错。', '短评打分': 5}
{'短评内容': '地方偏了一点，不过周围环境很安静，绿化很好，设施比较新。还是军区的招待所。感觉不错。', '短评打分': 5}
{'短评内容': '性价比是比较好的，网络也不错！推荐推荐，特别是贵阳这几年酒店价格情况', '短评打分': 5}
{'短评内容': '酒店档次还可以，房费高了。', '短评打分': 5}
