{'短评内容': '卫生舒适', '短评打分': 5}
{'短评内容': '没有拍照，酒店的卫生状况良好，房间和卫生间都很干净，周围有很多吃的，就餐方便，最主要是离机场巴士站非常非常近哟！下次再来深圳还会选择这里！', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '领导满意', '短评打分': 5}
{'短评内容': '地理位置优越，地铁站上来就是，旁边就是机场大巴', '短评打分': 5}
{'短评内容': '环境不错，服务态度很好！', '短评打分': 5}
{'短评内容': '就在地鐵口，搭地鐵或機場大巴都很方便，服務態度特別好，附近吃的也多，價位適中，出差首選，極力推，比星級酒店好', '短评打分': 4}
{'短评内容': '可以值的一住', '短评打分': 3}
{'短评内容': '主要是交通便利', '短评打分': 4}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '位置最佳，周边餐饮很多，电子商店琳琅满目。交通最佳，地铁，机场大巴就在楼下。酒店在华联大厦的顶层两楼高峰时段比较拥挤，其它都很不错。', '短评打分': 4}
{'短评内容': '酒店没啥亮点！网络电视基本没有上去，网络太差！但是工作人员态度都非常好，楼下周围吃饭的地方也很多！！', '短评打分': 5}
{'短评内容': '出行很方便，门口就是地铁站，也很好找，服务很不错，工作人员态度好！', '短评打分': 5}
{'短评内容': '吃住行都方便', '短评打分': 5}
{'短评内容': '位置很好，楼下就是地铁站。上下班高峰时坐电梯拥挤，写字楼办公的人多。', '短评打分': 4}
{'短评内容': '被子略有味，总体还过得去', '短评打分': 4}
{'短评内容': '不提供早餐，环境一般般', '短评打分': 2}
{'短评内容': '坐机场巴士的话就是地点方便，而且大堂对面楼梯上二楼，可以办理登机牌，但是如果有行李托运拿到登机牌后还得自己带行李到机场柜台办理托运。酒店的服务态度马马虎虎，房间施设老旧破损，被褥床单白色已经锈死，成了灰色的了，酒店破旧都不要紧，要是人员能够勤快一点，收拾干净一些，被套床单漂白一下，整体感觉就会舒服很多了。就像住家过日子一样，不拍穷，就怕懒，员工一懒惰企业就完蛋！', '短评打分': 5}
{'短评内容': '酒店地理位置好。交通方便,性价比较高。', '短评打分': 3}
{'短评内容': '位置很好，价格优惠极了，出门就是地铁站，去罗湖口岸仅三站；深圳机场大巴就在前面不到五十米处，15分钟一班，太方便了。周围吃饭逛街都很便利。关键是安全卫生，同伴丢失了几千元钱在房间，人家服务员拾金不昧，大赞一个。下次还会再来！', '短评打分': 5}
