{'短评内容': '没早餐，不能加床，位置不错', '短评打分': 5}
{'短评内容': '店员服务特别差，本来是定的大床，然后就给个小床，特别小。叫他换就说要加钱。大家千万别去这家宾馆。服务态度特别不好。', '短评打分': 1}
{'短评内容': '不差了', '短评打分': 2}
{'短评内容': '位置好，附近有丽日购物广场，购物方便，离亚洲第一喷泉也挺近', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '屋内有股霉味，开窗子老半天还是有味道，卫生间很大，没有合适办公的桌子', '短评打分': 3}
{'短评内容': '很不错，很安静。卫生干净。值得推荐', '短评打分': 3}
{'短评内容': '一般般，不值得住，望谨慎', '短评打分': 3}
{'短评内容': '一般般吧一般般吧一般般吧一般般吧', '短评打分': 3}
{'短评内容': '酒店在市区闹区，设施较陈旧，左右邻居都有较新的酒店，但未有与艺龙挂勾。特点有三人房，还是套间感到实用，也互不影响。离喷泉较近。', '短评打分': 3}
{'短评内容': '还是鞋子不好用哦。房间还不错，住了两天的，第二天出去回来，房间就打扫好了。东西也换好了，只是房间没有纸巾，厕所才有。这个不好，还有就是房间没有挂衣服的那个架子。不怎么方便。', '短评打分': 5}
{'短评内容': '不错。设备不错。就是那个一次性鞋子不好用。很滑人', '短评打分': 5}
{'短评内容': '踏入酒店环境，本来觉得还可以的，但是服务咨询信息时，个别工作人员态度极差，连续住了2天，第二天晚上回酒店时，没搞卫生。。。', '短评打分': 1}
{'短评内容': '酒店服务态度差劲', '短评打分': 3}
{'短评内容': '很好，不错酒店的服务质量还可以，服务生的态度也很好，', '短评打分': 5}
{'短评内容': '订的是豪华双人房，没看出来是豪华房，跟一般的房差不多。走廊比较窄，看起来不太舒服，酒店应该是旧房新装修的，窗子还是老式的茶色玻璃窗。房间还是挺干净的，最主要是隔音效果不太好，靠街的房比较吵。', '短评打分': 1}
{'短评内容': '酒店环境还可以，就是刚进去的时候房间有点异味', '短评打分': 3}
{'短评内容': '环境就不怎么好,但地理位置还是不错,价格不算贵', '短评打分': 5}
{'短评内容': ' 房间不太好，像员工的房间改造，没地板没坐便器，想换房说没房，退房速度极慢', '短评打分': 3}
{'短评内容': '还算干净宽敞，临街房很吵。', '短评打分': 3}
{'短评内容': '很干净，住着挺舒服，床够大', '短评打分': 3}
{'短评内容': '要了两间VIP房，靠马路的很吵，靠后面的窗户外紧挨着一堵墙，不分昼夜都要开灯。VIP房说是新装修过的，设施还可以，房间比较宽敞，不过有的房烟味较重。', '短评打分': 1}
{'短评内容': '酒店不错，干净舒服，比预期的好，位置很便利，附近不用二分钟就是食街，以后还会去！！', '短评打分': 5}
