{'短评内容': '下次还会来此住的', '短评打分': 5}
{'短评内容': '服务好，环境好', '短评打分': 5}
{'短评内容': '早餐是早茶的形式，可以管饱，叉烧包菠萝包不错，酒店双床房面积不大不小适中，介于三星到三星半之间，也不觉得别人说的一股霉味。', '短评打分': 4}
{'短评内容': '环境好，服务好', '短评打分': 5}
{'短评内容': '早餐还行，不是自助的。', '短评打分': 4}
{'短评内容': '很好的酒店，房间大，在老城区，吃东西很方便', '短评打分': 5}
{'短评内容': '酒店房间比起其他五星级的肯定是小点旧点的，不过地理位置不错，附近逛街吃东西以及坐公交都很方便，性价比高', '短评打分': 4}
{'短评内容': '位置优越，交通方便，酒店服务热情到位，下次还会再来。', '短评打分': 5}
{'短评内容': '澳门所有酒店都住过了，这个酒店这个价格，在澳门简直有良心啊，一万个赞', '短评打分': 3}
{'短评内容': '很好！不错！', '短评打分': 5}
{'短评内容': '房间正常，位置在老区闹市，方便，但酒店门面不明显，房间设施不足，没有保险箱，雨伞，購物袋，，，，，高级賓館。', '短评打分': 5}
{'短评内容': '房间正常，没有保险箱，酒店门脸隐闭，对得起这价位。賓館级别', '短评打分': 5}
{'短评内容': '好评', '短评打分': 4}
{'短评内容': '酒店位置很好，出行方便，酒店客房面积也可以。因为是亲子出游，房间宽敞些比较好。总体满意。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间烟味很重。。', '短评打分': 3}
{'短评内容': '一般般。。', '短评打分': 3}
{'短评内容': '该酒店房间大小还可以，很精致。应该是装修不久，家具、用具、床品都很新。布置很温馨，感觉很干净。不足就是所在位置不好找。', '短评打分': 5}
{'短评内容': '这家酒店就像国内的旅馆，不像宾馆，地段确实在澳门的中心位置，老区域有点破旧，交通很方便', '短评打分': 1}
{'短评内容': ' 酒店房间很小，床也很小，设施比较旧了', '短评打分': 3}
{'短评内容': '去哪里都很方便，酒店就比较小，房间也是比较小的，不过设施都挺好的', '短评打分': 5}
{'短评内容': ' 澳门富华粤海酒店条件不好.总之不满意.', '短评打分': 3}
{'短评内容': '就是离赌场远了些，服务员还给我发了两块巧克力。去澳门的请注意他们的空调好像只会制冷。', '短评打分': 5}
{'短评内容': '价格经济实惠，靠近繁忙地带，适合家庭住宿', '短评打分': 5}
{'短评内容': '除了便宜没有优点，地方难找 交通差 房间旧 连经济型酒店都不如', '短评打分': 1}
