{'短评内容': '外面修路，十分不便。酒店服务一般。', '短评打分': 4}
{'短评内容': '真的很糟糕 还算比较卫生吧 但刚好周边修路 太偏僻了 是我外出住过的最糟糕的酒店 房间里灯光暗到不行 灯少就算了 就一个灯 其他就是台灯了 还特别暗 其实根本没发洗澡的 卫生间连排气扇都没有 整晚都没睡好 ', '短评打分': 2}
{'短评内容': '有个大院子，停车方便。酒店内挂有许多摄影师的作品，非常棒的作品。不足之处是设施较旧，房间较小。订房前看网友几个月前的评价是门前修路，但实际门前道路比预想的糟糕许多，建议轿车今两年就别去了，拖底概率极大。', '短评打分': 5}
{'短评内容': '在高原地区设施都这样', '短评打分': 3}
{'短评内容': '免费早餐，性价比高', '短评打分': 4}
{'短评内容': '酒店很不错，距离游客中心很近，酒店也很新。', '短评打分': 5}
{'短评内容': '卫生一般，价格便宜', '短评打分': 5}
{'短评内容': '性价比较高', '短评打分': 5}
{'短评内容': '酒店还可以……就是没有热水', '短评打分': 4}
{'短评内容': '服务太老火，同行高反厉害休克，叫了服务员都不愿上楼看看，好在同行中有淡定之人施救才避免严重后果。', '短评打分': 3}
{'短评内容': '环境不错很好', '短评打分': 5}
{'短评内容': '环境不错，位置比较接近市中心，挺方便的。', '短评打分': 3}
{'短评内容': '房间略显简单，但是国庆期间，还是满意。说是单人间，其实是两人的大床房，而且比标间还大，建议夫妻或情侣出行，可以考虑。', '短评打分': 3}
{'短评内容': '房间略显简单，但是国庆期间，还是满意。。', '短评打分': 3}
{'短评内容': '酒店位置好，在当地算比较大的酒店，停车非常方便，房间也比较干净，不足就是房间偏小，早餐单调。', '短评打分': 3}
{'短评内容': '根本就是一个招待所的配置', '短评打分': 3}
{'短评内容': '停车场倒是很大，餐厅还没建设好，性价比一般。', '短评打分': 5}
{'短评内容': '宾馆外面看着好像没什么人住的样子，但是里面条件还是很不错的，比较干净。', '短评打分': 3}
{'短评内容': '酒店比较新，设施很齐全也比较干净，而且价格也一贵，还是值得推荐的。但装修的味道还没有完全散去，晚上睡觉只好开着窗户，因为没有纱窗进来很多苍蝇', '短评打分': 5}
{'短评内容': '我们去的时候还没装修完，大门、院子包括楼房内部好多地方都在装修，房间还是挺干净的，房价也比较低，遗憾的是不包括早餐，需要另外付钱。', '短评打分': 5}
{'短评内容': '新装修，房间大。东西都很新。床垫、枕头、被子都很舒适。有很大的院子，停车方便。前台小伙子热情。缺点是酒店门面还在改造，白天装修有些吵，且装修造成灰尘有些大。相信改造完后应该是新都桥镇最好的酒店。', '短评打分': 5}
{'短评内容': '我去了这家旅店 ,兵站转的,真的不错,价格公道,环境舒适,只是有点空旷,最主要老板一人身兼数职 热情的让人难忘 不住是你的遗憾 但是有点小的问题哦 一是卫生间内水汽散发不出去,二是电视信号太差 很多频道模糊 但是刘大哥的热情让我感动 还会去的 到时别涨价哦', '短评打分': 5}
{'短评内容': '挺好，房间很大，很干净，就是酒店外观还没有完工，总体不错，位置也很好', '短评打分': 5}
