{'短评内容': '经济实惠，适合出差选择！', '短评打分': 3}
{'短评内容': '很满意有停车场', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '就是房间不是很好，有很大的味道，但是前台冀利芳服务态度特别好', '短评打分': 4}
{'短评内容': '出差旅行的话，还是要来找这种快捷酒店，既经济，又方便，我本来想住一天就走了，后来有些事情还没处理好，就继续再住一天。', '短评打分': 5}
{'短评内容': '环境不怎样吧，胜在便宜，服务员态度可好了', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '小宾馆，硬件设施差了些，在公交站里面，不过服务态度很好，暖气很足。', '短评打分': 3}
{'短评内容': '这里的每一个人都是很有礼貌，服务态度没得说，赞一个。自助餐很不错，实惠又美味，下次去还住这里。就是热水洗澡不是大酒店那种锅炉烧水的，用的是热水器，要算时间排队洗澡。', '短评打分': 4}
{'短评内容': '还不错，前台服务很热情！特别是食堂饭菜真的很好吃，重庆人吃的惯！', '短评打分': 5}
{'短评内容': '环境不错，价格合理，是周边同档次最便宜的酒店，适合入住', '短评打分': 5}
{'短评内容': '环境不错，价格合理，是周边同档次最便宜的酒店，适合入住！', '短评打分': 5}
{'短评内容': '一直很信赖这家宾馆，还算不错', '短评打分': 3}
{'短评内容': '真的有点糟糕！', '短评打分': 1}
{'短评内容': '2015年9月29号入住北京和家宾馆马连道店。该宾馆在45路公交站内出行非常方便，宾馆的三餐也非常好，服务员的态度也非常热情，下次去北京还入住该宾馆', '短评打分': 3}
