{'短评内容': '无早，酒店位置极佳，由于原先订的汉庭酒店没房了，临时起意订的。价格是快捷酒店的价格，条件却比想象的要好，干净整洁。', '短评打分': 5}
{'短评内容': '位置挺好，隔音加强就好了', '短评打分': 4}
{'短评内容': '很舒服， 比七天强很多，设施都挺完善的', '短评打分': 5}
{'短评内容': '以前觉得还不错 现在服务不太好', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '位置蛮好，环境一般', '短评打分': 4}
{'短评内容': '只能说，以后还是少在京东订吧，在美团订提前一天会给你发短信提醒，京东上不会，然后我到第二天才发觉订的是前一天晚上的房，纵使主要问题还是在于自己不细心，但是，防患于未然嘛，以后还是支持美团吧～', '短评打分': 1}
{'短评内容': '性价比极高，建筑特别吸引我，1912年民国建筑，文艺装逼犯。非常好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '总体来说比较划算，离江汉路步行街稍微远了点，其他还可以', '短评打分': 5}
{'短评内容': '性价比高，地段便利，档次适宜，居家商务首选！', '短评打分': 5}
{'短评内容': '首先，住的双床房，房间小就算了，进去一股馊味，好像发霉的房子，而且，关窗之后，大车一过就震而且很吵，跟酒店沟通之后看了另外一间双床房，双床房都是靠马路，非常吵。其次马桶还堵了，房间桌子上的水，饮料，食物，都是要收费的，酒店没有标明，退房的时候就说我们用了矿泉水要给钱。', '短评打分': 2}
{'短评内容': '挺好的，价格合理，位置好，就是房间没有免费的矿泉水，也不能停车', '短评打分': 3}
{'短评内容': '还可以。。。我红红火火恍恍惚惚红红火火', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '非常非常满意，一直很喜欢。下次还是会继续光顾。', '短评打分': 5}
{'短评内容': '还可以，还蛮干净，房间有点小，国庆吧有点小贵吧', '短评打分': 3}
{'短评内容': '客房还算宽敞卫生，距离吉庆街很近', '短评打分': 3}
{'短评内容': '离著名的小吃一条街很近。。。。很方便，机场大巴在附近。。。。。。。', '短评打分': 5}
{'短评内容': '服务挺好的，酒店也比较干净，打扫房间也很及时，推荐入住', '短评打分': 5}
{'短评内容': '环境还不错，交通也方便', '短评打分': 3}
{'短评内容': '很不错的住所，干净卫生，交通便利，而且很容易找', '短评打分': 3}
{'短评内容': '如果只注重一个休息的场所的话，那么整体来说还算不错，基本设施应有尽有~地理位置相当优越，当时订房的时候就特别考虑了这一点，一出门就是著名的夜宵街-吉庆街，顺着走就是著名的商业街-江汉路，非常适合初到汉口与朋友见面后high一个晚上~缺点在于洗发露与沐浴液质量不好，房间的墙面有些脏。', '短评打分': 5}
{'短评内容': '离吉庆街比较近，周围吃饭购物都比较方便，，，，\n', '短评打分': 5}
{'短评内容': '不是很给力！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '房间太小 卫生条件一般 拖鞋换成一次性的比较好', '短评打分': 1}
{'短评内容': '这家酒店位置非常好，离江汉路步行街5分钟都不到，而且这样的价位算是比较干净整洁的，至少不会让人觉得有什么不舒服的地方', '短评打分': 5}
{'短评内容': '房间不大，但好在干净简洁，可惜没有电梯，这一点让人很是苦恼...', '短评打分': 5}
{'短评内容': '环境不错\u3000踏踏米蛮浪漫的\u3000', '短评打分': 3}
{'短评内容': '环境一般，还比较方便，但没有电梯，吃饭宵夜很方便。', '短评打分': 1}
{'短评内容': '房间一般 无电梯', '短评打分': 3}
{'短评内容': '酒店房间太小和价格不成正比', '短评打分': 3}
{'短评内容': '酒店挺好的，房间也不小', '短评打分': 3}
{'短评内容': '环境不错，可以，床挺大的，，，，，。。。。。。。。。。。。。。。。。。。。。就是位置偏了，其他的都可以', '短评打分': 5}
{'短评内容': '还行吧，刚开始路还不是很好找，新装修味道比较重，其他的还行，住的榻榻米间，比较新颖，半透明的洗澡间是好还是不好咧，看你跟谁去住吧', '短评打分': 5}
