{'短评内容': '房间很干净，住在里面挺舒适的，对面有停车场，位置离宽窄巷子挺近的，', '短评打分': 5}
{'短评内容': '位置确实很好，去哪都很方便～环境在此等价位尚可，就是实在是太不隔音啦～很早就会醒～如果喜欢睡懒觉的话最好不要考虑', '短评打分': 5}
{'短评内容': '离宽窄巷子不远，走路不到十来分钟吧，环境还可以', '短评打分': 5}
{'短评内容': '不错的 很好 经济实惠', '短评打分': 5}
{'短评内容': '酒店位置较好', '短评打分': 5}
{'短评内容': '浴巾洗漱用品都是两套', '短评打分': 5}
{'短评内容': '很无奈。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '靠近景区，不错的', '短评打分': 5}
{'短评内容': '离宽窄巷很近，附近有火锅店，好评', '短评打分': 5}
{'短评内容': '靠近宽窄巷，价格便宜，性价比可以。整体环境还行，房间小一些，设施设备简单。总体交通还可以，最好的就是去宽窄巷方便了', '短评打分': 5}
{'短评内容': '刚预定完就降价了，我这运气也是醉了', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '很不错，值得推荐，位置距离宽窄巷子走路10分钟左右。附近有超市水果店，有一条街都是吃饭的，地理位置很棒。前台小妹也很热情，来成都玩儿推荐了好多旅游的地方，去了熊猫繁育基地，遇上天气好，熊猫都出来了，开森啦，很愉快的旅行', '短评打分': 5}
{'短评内容': '我是出来旅游的想到宽窄巷子和锦里看看，我先到的锦里之后到的宽窄巷子，我就在宽窄巷子附近找了一家7天酒店，这是一家让我住着放心的酒店，服务生热情!房间也是很干净卫生!而且酒店用的浴巾还是封过包的，酒店服务生介绍说这是为了避免二次污染所以将浴巾封包，前台服务员看我是普通会员就给我还介绍了他们新推出的活动，99元就可以办理一张金卡，里边还送100元的劵，退房时间还可以推迟到下午3点，我用起来很实惠，也很', '短评打分': 5}
{'短评内容': '环境很好，很安静。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '出行方便，吃东西的地也多，各种火锅中餐，味道棒棒哒。', '短评打分': 5}
{'短评内容': '干净。离宽窄巷子近', '短评打分': 5}
{'短评内容': '太差了', '短评打分': 2}
