{'descr': '不咋地啊。。。', 'star': 3}
{'descr': '可以的满意', 'star': 5}
{'descr': '地理位置很好，离欧美汇，宝食街，还有地铁站很近，然后周边不会吵，推荐楼下有一个店面很小的火烧店，很好吃，室内有洗衣机和微波炉，冰箱，还蛮惊喜的', 'star': 5}
{'descr': '酒店位置不错，环境还好，交通便利，非常适合在海淀区办公的住客，还有厨房和休闲沙发，离新东方培训机构和海淀黄庄很近', 'star': 4}
{'descr': '自助服务式的公寓酒店，感觉好像是单身公寓改建的，交通很方便，也很安静，但是设施有点老，装修也不是很新了，双床是两张大床，这个很棒', 'star': 5}
{'descr': '住了一二十次的店，但是第一次用携程预订，应该说携程还是很好用的，只想说，你们既然是私营，这当然对顾客有利有弊，但是就应该学会如何做生意，不要捡了芝麻丢了西瓜。至于评分，只关乎心情，大家自己去感受吧', 'star': 1}
{'descr': '第一次住，一般的', 'star': 3}
{'descr': '还可以', 'star': 4}
{'descr': '交通方便，内部设施齐全，性价比比较高。', 'star': 5}
{'descr': '房间感觉差些，可能住惯酒店对公寓也有不公吧', 'star': 3}
{'descr': '位置不错 其他就一般般啦', 'star': 4}
{'descr': '位子可以，设施普通，价钱公道，可以接受', 'star': 3}
{'descr': '房间设施很一般，价格较合理', 'star': 3}
{'descr': 'ok。洗衣机不能用，有点脏，房间图片仅供参考', 'star': 3}
{'descr': '基本就是没服务。其它环境也一般。总体还凑活。', 'star': 3}
{'descr': '都还不错。就是卫生差了点。交通很方便 很安静', 'star': 5}
{'descr': '在公寓楼里还不错。有冰箱电磁炉什么的但我们只住一晚用不到。对面有711.还有粥店吃饭很方便。进出楼刷卡也挺安全的。就是厕所太小了。其他的都还不错。没有发票。。', 'star': 5}
{'descr': '房间清洁', 'star': 3}
{'descr': '还不错。看着比较干净，价钱稍微偏高一点。只能开具手写发票。', 'star': 3}
{'descr': '房间非常干净，毛巾等都是新的，还有冰箱、洗衣机、微波炉、电磁灶，很舒适！位置在新中关购物中心往西、海淀区法院的后面一幢楼，站在窗口就看到微软亚洲研究院大楼了…非常好！下次出差继续会订该酒店的…吃住行都很方便，赞一个！', 'star': 3}
{'descr': ' 服务很好', 'star': 3}
{'descr': '感觉环境还可以，交通便利，不错', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '位置理想，价钱合理，房间空间大，卫生条件还行干净，网络不好用。其他正常。可以推荐。就餐方便..........', 'star': 5}
{'descr': '是否推荐这家公寓，要看你入住的目的和心态。\n如果是抱着租房的心态，每天自己打扫卫生，自带洗漱用具，这家还是不错的，交通很方面，附近有家乐福，还有海淀医院，餐饮也多。\n如果是抱着住宾馆的心态，就不能选择了，在北京至少要450元以上的价位才能享受满意的服务和硬件。', 'star': 5}
{'descr': '没有介绍中那么大，大概房间内有25平方米吧，总体感觉还好。\n地点不错，离地铁，商圈都很近，附近吃饭的地方很多。\n美中不足：1、商务标间两个床的床上用品不一样。\n          2、卫生间内有味道。\n          3、每天只能免费用3度电。。', 'star': 5}
{'descr': '床是沙发拉开的，有点不太舒服，但是总体还是不错，毕竟比较便宜，下次还会去的。', 'star': 5}
{'descr': ' 很不错!就是厨具太脏了,有臭味.其他都很好', 'star': 3}
{'descr': '位置很好,價錢便宜,房間乾淨,住得舒适,推荐入住！\n', 'star': 5}
{'descr': '床脏得没法睡，床单好像没有替换，还有一种酸臭味，本想就凑活一个晚上，但实在没忍受也对这酒店没信心了，晚上8点最后还是决定退房去别家酒店住。', 'star': 1}
{'descr': '位置还不错，处于中心位置，出行还是挺方便的，配置方面有待提高.', 'star': 5}
{'descr': '服务人员热情周到，办事效率也还算可以，整体舒适度还不错.', 'star': 5}
{'descr': '床垫太老旧、太软了，应该换了。其他还好。', 'star': 5}
{'descr': '服务一般，床很差。', 'star': 3}
{'descr': '屋裡挺暖和的 就是電視不太好用 台少 上网速度很快 整體還算不錯', 'star': 3}
{'descr': '環境不錯 服務態度也很好 可以做飯洗衣服設施齊全 非常滿意！', 'star': 3}
{'descr': '条件一般，主要是服务对于我来讲不是很好，不够热情.', 'star': 3}
{'descr': '＋酒店挺齐全，很安静温馨，只是床有点小，被子要是绵花的就更好了。', 'star': 3}
{'descr': '总的来说性价比非常的好，在北京能有这样的算是很不错的。 我跟老婆都很喜欢这里房子 。\n作为老住客，还是提点意见：毛巾浴巾不吸水，洗完澡擦身上，擦一遍还是湿的。 \n地板上发现有一根很长的头发。', 'star': 5}
{'descr': '还不错，蛮居家的，需要做饭的可以租住。房间还可以。40多平米。', 'star': 5}
{'descr': '酒店性价比挺好的，房间卫生条件不错，干净整洁，酒店周边交通挺好的，蛮方便的，硬件提供的很齐全，服务不错', 'star': 5}
{'descr': '4天前下的订单，被告知预定成功。\n去了中关村店，却被告知没有房间了。\n然后推荐去知春路店，好不容易摸到知春路店，又只有一间很差的房间，很生气，只好临时找其它酒店住。', 'star': 1}
