{'短评内容': '隔音效果差，其它都好', '短评打分': 5}
{'短评内容': '设施很齐全，看起来像没装修多长时间', '短评打分': 5}
{'短评内容': '看起来很新，像刚装修的，一家五口住，很不错', '短评打分': 5}
{'短评内容': '第一次住银座佳驿，原来是这样的。矿泉水开盖付费，洗漱用品一好一差，好的开封付费。这栋楼两天跳闸3次，需维修', '短评打分': 4}
{'短评内容': '房间太潮湿', '短评打分': 2}
{'短评内容': '还可以吧，地理环境不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 4}
{'短评内容': '房间不大', '短评打分': 5}
{'短评内容': '传说中的大床房房间小，床也小，而且床单还带补丁，没有停车位十分不方便给', '短评打分': 2}
{'短评内容': '设施太久，隔音太差，住店旅客素质太低', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间比较小，住过的最小的汉庭，卫生间地砖都松动了，一踩水出来，淋浴间好小，喷头有点乱喷，水力还不大，暖气没有，空调开了不暖和', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
