{'descr': '今天 刚刚在这里回家 感觉不错 早餐也不错 如果乘早班飞机 在这里 的确很不错', 'star': 5}
{'descr': '长春机场区内酒店可能只有这么一家，离候机楼很近，走过去大概五分钟。前台服务很好，酒店略显陈旧，但还算干净整洁。如果乘早班飞机，又不想起早的话，这里是个不错的选择。', 'star': 5}
{'descr': '酒店還可以，離機場近，步行大概5分鐘就到了，很方便', 'star': 5}
{'descr': '除了坐飞机方便没有其他优点！四月可以上网这次去居然上不了！价格也昂贵', 'star': 1}
{'descr': '离机场很近啊 很方便啊  长春就这一家机场附近的啊 。', 'star': 5}
{'descr': '酒店内部沟通不好！在酒店餐厅吃饭说不能开发票，让前台在check out时开发票；等到我check out时，前台又让我自己去餐厅开发票。等我到了餐厅那儿，又让我到前台开发票。。。。如果不是因为工作需要，不会再选择此酒店！', 'star': 1}
{'descr': '\r\n装修普通，设施比较齐全，也蛮干净，距离机场步行十分钟，还不错吧', 'star': 3}
{'descr': '离机场很近  赶飞机很方便  屋子干净  就是感觉有点贵  早餐还可以', 'star': 5}
{'descr': '总体来说还不错，就是价格有些偏高，但是机场边上的酒店，可以理解', 'star': 5}
{'descr': '还不错，就是有点贵', 'star': 3}
{'descr': '酒店的房间倒是比较大，但是设施陈旧，卫生条件一般，入住的晚上既然上不了网，郁闷。', 'star': 1}
{'descr': '半夜入住的，对房间没什么概念。但是早餐很棒，服务员态度很赞', 'star': 5}
{'descr': '房间很不错，是给我长辈住的，他很满意，一楼的菜也还可以就是速度有点慢了', 'star': 5}
{'descr': '在长春龙嘉机场宾馆的房间比较旧，地毯也比较脏，说300块的房价是高点了，不过值得表扬的是餐厅的东西比较划算，分量足，早餐也比较丰盛。总体的说还是可以了。', 'star': 5}
{'descr': '整体还好，价格高', 'star': 3}
{'descr': '离机场近，方便，条件不错', 'star': 3}
{'descr': '  酒店有点年头了，装修有点久，总体还比较舒适。唯一缺点没有打火机火柴，一定要记得下飞机买一个。', 'star': 3}
{'descr': '就在机场外面，第二天转机方便。还算干净整洁，图个方便吧 \n', 'star': 5}
{'descr': '离机场很近很方便,条件也就凑合了,不值三百元,不过为了赶飞机便利第一嘛,也就值得了', 'star': 3}
{'descr': '房间门是破的，就是离机场近。半夜飞到长春机场第二天早上要转机。只好住一晚。', 'star': 1}
{'descr': '环境不错，房间很干净，服务态度也很好，本人很满意', 'star': 5}
{'descr': '太冷，服务一般', 'star': 3}
{'descr': '房间的价格远远超出收费标准 不值', 'star': 3}
{'descr': '长春机场周边只有这么一家，甭挑了，没得选。\n\n大好不好，大坏不坏，设备不新，但是干净什么的还算是做到位了。三百块的标准来看，还行。', 'star': 5}
{'descr': '酒店设施旧，性价比不高.唯一的好处是离机场近，几分钟的步行距离', 'star': 1}
{'descr': '＋已入住谢谢，很满意。', 'star': 3}
{'descr': '房间干净，热水充足，就是房间不是很暖和，周边没有娱乐设施，晚饭后没有地方去，只有在房间里看电视，上网，，但是对于坐第二天很早的飞机的朋友来说，是值得一住的。', 'star': 5}
