{'短评内容': '酒店位置一般', '短评打分': 3}
{'短评内容': '四星级，比想象中差的远', '短评打分': 3}
{'短评内容': '房间设施一般，也没有矿泉水提供', '短评打分': 3}
{'短评内容': '房间淋浴喷头水量很小，温度难调', '短评打分': 3}
{'短评内容': '酒店的环境很好', '短评打分': 5}
{'短评内容': '酒店很好，下次还会住', '短评打分': 5}
{'短评内容': '位置还方便', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '作为连锁酒店，我觉得这个是高端的啦！有窗的房间可以看到杭州的夜景！不错！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '机场附近这个价位房间空间大小和设施算不错的了，还有早餐！环境嘛就一般了，窗户外面风景就是热电厂……', '短评打分': 4}
{'短评内容': 'soso.  不错。可是比较一点点贵。  출장이라서 왔는데 시설들이 오래됬어요.  그냥 좋은데가 아니다 라는 마음을 가지고 편하게 오면 후회는 하지 않으실 듯 하네요. ', '短评打分': 4}
{'短评内容': '周边有个热电厂，几个大烟囱喷烟，环境不好。酒店室内设施啥的都不错，就是光出热水，很烫的，没法洗澡。', '短评打分': 4}
{'短评内容': '第一次入住该酒店，硬件还是挺不错的。但是周围空气太差，走在路上都有味道。另外服务不行，态度较差。', '短评打分': 4}
{'短评内容': '整体不错的，就是花洒不好，冲凉水温太热！！！', '短评打分': 4}
{'短评内容': '酒店老了点，房间很大，有部分楼层正在装修，早餐一般', '短评打分': 5}
{'短评内容': '房间不错，就是路不好找', '短评打分': 3}
{'短评内容': '酒店还是不错的，离机场也不远，服务比较好。', '短评打分': 5}
{'短评内容': '酒店设施和卫生还可以吧，但早餐不咋的，品种少了点。', '短评打分': 3}
{'短评内容': '房间环境挺舒适，离机场也近，价格也不贵。', '短评打分': 5}
{'短评内容': '还是很方便的。特别是房间条件不错', '短评打分': 3}
{'短评内容': '酒店距离机场蛮近的，周边出行交通方便，房间设计的很简约，卫生条件好，住宿环境不错', '短评打分': 5}
{'短评内容': '房间采光很好，住宿环境不错。卫生干净整洁，服务也很到位，下次还会考虑住的', '短评打分': 5}
{'短评内容': '不错的宾馆，值得一住。。。自己有车去机场还好，听说飞机误点这边是收容站哦。。。', '短评打分': 5}
{'短评内容': '宾馆非常不错，很大。装修得也比较好。只是收费太贵。前一天晚上要了一辆车，结果酒店派了一辆私家车，而且也不能酒店里一起结帐。费用高得离谱，又不是什么商务用车。', '短评打分': 5}
{'短评内容': '酒店还不错，挺显档次的，服务也挺好，设施也挺完善的，出行交通也挺便利的。', '短评打分': 5}
{'短评内容': '酒店装修的还不错，挺豪华的，设施方面也挺齐全，房间里打扫也挺干净，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店还不错，服务卫生方面挺到位，位置也挺好，周边交通挺便利的。', '短评打分': 5}
{'短评内容': '酒店离机场还比较近，20多分钟就能到了，内部环境还不错，挺干净挺舒适。', '短评打分': 5}
