{'短评内容': '很好，非常满意', '短评打分': 4}
{'短评内容': '挺好的，很卫生', '短评打分': 5}
{'短评内容': '不错的酒店   值得再住', '短评打分': 5}
{'短评内容': '早餐很丰富，房间很安静。', '短评打分': 5}
{'短评内容': '早餐还比较丰盛，前后都有停车场，很安静，适合居住。', '短评打分': 5}
{'短评内容': '如果不是因为离办事的地方近，绝对不会住这家酒店了。前台服务冷冰冰，三百五的房费，我押了八百的押金，签个200的餐费居然说不能签。房间破旧，设备老化。周围没有什么可以吃饭的地方', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店很不错，环境和服务都好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '主要是为了去武汉理工大学，十分近，非常方便，步行一刻钟，尤其高峰时间武汉打车很难的。但往返机场很远，时间要充裕才好。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还不错，离办事点很近，餐厅少有的好', '短评打分': 5}
{'短评内容': '还不错，离办事点很近，餐厅少有的好', '短评打分': 5}
{'短评内容': '安静，特别是偶数房间。', '短评打分': 5}
{'短评内容': '非常棒', '短评打分': 5}
{'短评内容': '干净卫生，环境舒适，服务态度很好，门口就有公交车站，但只有两条线路。位置比较偏僻，早餐品种比较少。', '短评打分': 4}
