{'短评内容': '环境还可以，路边就是黄河', '短评打分': 4}
{'短评内容': '酒店位置好，很方便！', '短评打分': 5}
{'短评内容': '房间什么都没有，洗澡还要水漫金山，那一圈还是只有西湖银峰好一点', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店周边交通还是不错的，但河这边没有太多的士，打车还是不方便或要绕路上桥，好在桥比较近，步行可以两分钟上桥，过了桥离大众巷也近，这点不错。设施一般，节假日这个价格还是可以接受。早餐比较简陋了，能在齐全一点就更好了。', '短评打分': 4}
{'短评内容': '前台服务态度差', '短评打分': 3}
{'短评内容': '房间有水声', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '晚上飞机到的兰州，前台接待驴脸拉的很长，预定的订单找不到。最后给安排了别的房型，一般般……', '短评打分': 3}
{'短评内容': '总体还行，服务优。', '短评打分': 4}
{'短评内容': '很适合商务', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '整体不错，已经住好多次了', '短评打分': 5}
{'短评内容': '酒店还是比较安静舒适的，设施比较陈旧些，但影响不大，临滨河北路，交通比较方便，酒店有餐饮部，早餐需要再付钱，10元，比较方便，就是每天过中午十二点后房卡都要重新刷，不管住几天', '短评打分': 4}
{'短评内容': '外表挺漂亮的，很大气，但是电梯等设备都陈旧了，按键不灵，房间设施偏旧，也就这个价位', '短评打分': 3}
{'短评内容': '条件不错。没有网线很不方便', '短评打分': 3}
{'短评内容': '一般吧，酒店位置比较偏一些，早餐不怎么好', '短评打分': 5}
{'短评内容': '入住6005房间。吴晓晨', '短评打分': 3}
{'短评内容': '满意！', '短评打分': 3}
{'短评内容': '可以看黄河的夜景，靠黄河房较吵，另外一排房可能安静，离白塔山步行可到，房间内装潢还行，酒店时间虽稍年长但还是值得一住。', '短评打分': 5}
{'短评内容': '卫生间地漏下水不利，洗澡时厕所回积水，总体设施比较陈旧，走廊昏暗。', '短评打分': 1}
{'短评内容': '服务卫生方面很好，早餐也很不错，就是热水供应的不太好！', '短评打分': 5}
{'短评内容': '24小时热水\n这只是个笑话\n房间走廊经常没有灯\n插房卡  看不到', '短评打分': 1}
{'短评内容': '服务卫生方面很好，早餐也很丰盛。', '短评打分': 5}
{'短评内容': '酒店的卫生方面可以给5分，床单被子都很干净。', '短评打分': 5}
{'短评内容': '条件非常好，价格也行！交通便利，紧邻黄河！推荐', '短评打分': 5}
{'短评内容': '一家老酒店，设施看起来有点陈旧，总体还行，位置偏了点', '短评打分': 5}
{'短评内容': '+', '短评打分': 5}
{'短评内容': ' 酒店环境很好 交通去机场比较便利  门口就是黄河 可以顺便参观', '短评打分': 5}
{'短评内容': '就在黄河边上，日夜景都不错，只是河边晚上总过车晚上有些吵。走路几分钟就可以到黄河第一桥，停车场也很大，价位合理，性价比很高。', '短评打分': 5}
{'短评内容': '交通方便，停车场比较满意 。中央空调不太好。。', '短评打分': 5}
{'短评内容': '卫生可以给满分，房间里很干净，床上用品也很干净，使用起来很放心。', '短评打分': 5}
