{'短评内容': '蛮好的 老板态度好', '短评打分': 3}
{'短评内容': '开始找不到 找了好久 后面还是在小区楼下 老板主动问的我 才找到的 好欣慰', '短评打分': 4}
{'短评内容': '价格实惠 风景还不错 精挑细选果然没有错', '短评打分': 4}
{'短评内容': '非常好！离海近！交通方便！价格也很实惠！楼下的公交车四通八达！每个经典都能到', '短评打分': 5}
{'短评内容': '便利、都好！', '短评打分': 5}
{'短评内容': '酒店景观很好，阳台就是180度海景，离大东海很近，去海边游泳直接走回来洗澡，非常方便！老板人非常好讲！', '短评打分': 5}
{'短评内容': '位置很好，性价比很高', '短评打分': 5}
{'短评内容': '价格公道，服务还好东北家庭旅馆老板人好', '短评打分': 3}
{'短评内容': '价格还行房间有点小，挺干净的，老板服务好', '短评打分': 3}
{'短评内容': '还可以，小妹妹很热情', '短评打分': 4}
{'短评内容': '不错的，第二次住了。', '短评打分': 5}
{'短评内容': '老板人很好，推荐住阳台房，房间比较大，位置很方便，坐车位置一流，离大东海非常的近。满意', '短评打分': 5}
