{'短评内容': '酒店位置不错', '短评打分': 4}
{'短评内容': '我都懒得说。', '短评打分': 2}
{'短评内容': '环境好，周围吃的很多，感觉物超所值哦', '短评打分': 5}
{'短评内容': '非常非常好', '短评打分': 5}
{'短评内容': '非常非常好', '短评打分': 5}
{'短评内容': '经常住 不错', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '还不错 将就', '短评打分': 5}
{'短评内容': '房间卫生还可以，', '短评打分': 3}
{'短评内容': '房间整体还可以，就是睡觉的时候发现有张床上有血迹和一块不知道是什么的东西，酒店位置还不错，出来就是八卦岭美食街，吃东西很方便', '短评打分': 4}
{'短评内容': '酒店位置很好，交通非常方便，地铁公交都不远，去哪儿都方便。附近的餐饮一条街更是想吃什么都有，特色小吃很多，可大饱口福。酒店的卫生、服务都不错，值得推荐。', '短评打分': 5}
{'短评内容': '在美食街里，位置很好，不过附近没地铁的，只有打车或公交车。帮朋友预订的，之前我们都住那一带，所以很熟，晚上吃宵夜的地方很多选择，半夜都很热闹。', '短评打分': 4}
{'短评内容': '酒店环境不错，楼下有美食一条街，吃饭方便', '短评打分': 4}
{'短评内容': '酒店位置很好，交通很方便，早餐一般，楼下的土菜馆和酒店有合同，吃饭也很方便，出酒店就是八卦美食一条街。服务挺好，唯一不足是我住的房间有味道，跟前台一说，服务员就上来了，我们表示想调换房间后，马上就换了一间没有味道的房间，但临街，有点吵，房间不隔音，隔壁说话都能听到。', '短评打分': 5}
{'短评内容': '服务很好，交通便利，房间舒适！是旅游出行的最佳选择！ 每次出差都住这，，旁边有吃米粉的地方，交通很方便，就是设施差点。早餐自助餐过得去，早餐嘛，要求不能太高。服务有待再提高。 总体还是非常非常不错的，', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '前台小姐可否多些笑容 好像谁欠你钱似的 另外为什么不能刷储蓄卡 无语', '短评打分': 5}
{'短评内容': '床太低太硬', '短评打分': 3}
{'短评内容': '关键是方便啊，出门就是美食街，住了几天都吃怕了，酒店的早餐就不要吃了，很贵很差。', '短评打分': 5}
{'短评内容': '总台服务人员的素质和态度让人快忍受不了啦', '短评打分': 3}
{'短评内容': '从来没住过这么差的酒店。对客人不仅是不尊重，简直就是恶劣、恶毒。', '短评打分': 1}
{'短评内容': '这个酒店在八卦一路，正好是八卦岭食街旁边，旁边有西贝莜面，往前走还有很多餐馆，吃饭很方便。只是贵了点', '短评打分': 5}
{'短评内容': '单人间不错，楼下食街方便', '短评打分': 3}
{'短评内容': '房间很大，刚开始被子不够，找服务员及时添加，谢谢了', '短评打分': 5}
{'短评内容': '环境还不错，房间的布置很舒适，服务也蛮好的', '短评打分': 5}
{'短评内容': '隔音效果不错，周围吃饭较方便。厕所里毛巾有水印，卫生状况待改善。', '短评打分': 3}
{'短评内容': '住宿环境还可以，周围配套比较齐全，但是房间内的物品太抠门，梳子仅仅有一把，卷纸也只剩下一点点了', '短评打分': 5}
{'短评内容': '早餐太差，其它都还好，因为离客户近，所以一直住它', '短评打分': 5}
{'短评内容': '地方很不错,深圳吃的东西也很多.服务态度都不错.', '短评打分': 5}
{'短评内容': '酒店附近吃饭方便', '短评打分': 3}
{'短评内容': '设施陈旧，灯光昏暗，唯一的好处就是和广州机场大巴的深圳候机室比较近', '短评打分': 1}
{'短评内容': '酒店房间太小，光线不好。房间走廊间有严重的气味。还有，房间床铺的床垫很硬。', '短评打分': 1}
{'短评内容': '不怎么样，性价比极其不符，，，，，，，，，，', '短评打分': 1}
{'短评内容': '幫朋友訂的,因為那附近有車可以直接到廣州機聲,價格不低,房間一般', '短评打分': 1}
{'短评内容': '很好。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间挺干净，就是房间空调没制热，睡的比较冷，但是房间可以桑拿挺好', '短评打分': 5}
{'短评内容': '房间价格便宜，八卦路上吃饭也很方便！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '深圳世纪华源商务酒店 档次比较高 非常不错 是个很好的酒店 推荐', '短评打分': 5}
{'短评内容': '一切都很好，价格也不贵，离到广州机场的大巴很近，要去广州机场住这里很方便。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店位置不错，周围很热闹。房间也不错。已经住过很多次了。', '短评打分': 5}
{'短评内容': '+房间一般，隔音不好', '短评打分': 5}
{'短评内容': '还不错，房间有点小，卫生间比较大。总体来说还行，出门吃饭的地方比较多。', '短评打分': 5}
{'短评内容': '⒈不过性价比还算可以，地理位置也还算优越，周围也不算喧哗。如果能稍加改进还是值得推荐的', '短评打分': 3}
{'短评内容': '⒈电梯内气味比较难闻；\r\n⒉因为是豪华单人房，需要走老长一段比较阴暗的过道。\r\n⒊房间电视不是等离子的就算了，连纯平都不是，居然还是凸屏的那种，你们自己想象下是哪种；\r\n⒋大清早，被服务员敲门吵醒说查退房，却发现自己敲错门了，真是郁闷至极！', '短评打分': 3}
{'短评内容': '早上8点30迷糊中服务员过来敲门查退房间，吵醒之后开门发现敲错房门。这是什么服务员嘛？？', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '电梯里的味道比较难闻，其他还可以', '短评打分': 5}
{'短评内容': '酒店的卫生还是挺不错的，价格也很便宜性价比是挺高的，而且服务态度也很不错，位置也很好找的出行都很方便，还是算比较物美价廉的酒店我很满意的，下次去的话我还会去这家的。价格确实很不错。', '短评打分': 5}
{'短评内容': '房间还是蛮干净的，设施也比较齐全，酒店的位置一般了，交通不是很便利，整体感觉性价比还可以。', '短评打分': 5}
{'短评内容': '酒店比较旧了，床很不舒服。', '短评打分': 1}
{'短评内容': '楼下的八卦路是美食街，可以饱口福；床一般', '短评打分': 1}
{'短评内容': '位置还行，这边出行还是很方便的，房间的卫生和设施还不错，服务也可以，整体感觉性价比还是不错的', '短评打分': 3}
{'短评内容': '房间还可以，服务也还可以。周边环境比较通畅。总的来说都还是可以的。', '短评打分': 5}
{'短评内容': '这个酒店卫生，设施，位置，性价比都还比较可以，就是服务差，我那天住了一晚，第二天退房结账的时候，一看账单上要付398元，我说定的房价是348元的房，怎么会多50元，总台的服务生说查房的服务生查到床单上有血迹，要交50元清洁费，我就给他们总台的服务生说我一个男人住哪来的血迹，就叫他们把床单拿下来看，结果等了一会床单也没拿下来，我就着急了，因为我要赶飞机就要求他们快点，又过了一会还是没拿下来，我又催了', '短评打分': 1}
